Local time,Open,High,Low,Close,Volume
31.12.2006 19:00:00.000 GMT-0500,0.78941,0.79790,0.77761,0.77875,1152878.3984
07.01.2007 19:00:00.000 GMT-0500,0.77875,0.78475,0.77544,0.78405,1155420.7334000003
14.01.2007 19:00:00.000 GMT-0500,0.78412,0.79062,0.78050,0.78855,4896623.8917000005
21.01.2007 19:00:00.000 GMT-0500,0.78885,0.79383,0.77145,0.77389,1155976.0313
28.01.2007 19:00:00.000 GMT-0500,0.77383,0.77721,0.76927,0.77387,1152530.1650999999
04.02.2007 19:00:00.000 GMT-0500,0.77390,0.78230,0.77196,0.77697,1155443.2393
11.02.2007 19:00:00.000 GMT-0500,0.77696,0.78771,0.77020,0.78699,1153281.0947
18.02.2007 19:00:00.000 GMT-0500,0.78694,0.79264,0.78408,0.79177,1154639.6417
25.02.2007 19:00:00.000 GMT-0500,0.79168,0.79475,0.77944,0.77963,1153204.6475
04.03.2007 19:00:00.000 GMT-0500,0.77963,0.78190,0.76754,0.78137,1156451.7815
11.03.2007 20:00:00.000 GMT-0400,0.78126,0.79727,0.77928,0.79496,1154233.8310999998
18.03.2007 20:00:00.000 GMT-0400,0.79496,0.80890,0.79349,0.80473,1149149.1241000001
25.03.2007 20:00:00.000 GMT-0400,0.80495,0.81178,0.80255,0.80950,1215180.8086
01.04.2007 20:00:00.000 GMT-0400,0.80960,0.82097,0.80627,0.81567,33093.5399
08.04.2007 20:00:00.000 GMT-0400,0.81557,0.83377,0.81557,0.83297,27940.8902
15.04.2007 20:00:00.000 GMT-0400,0.83287,0.83917,0.82817,0.83467,30046.479600000002
22.04.2007 20:00:00.000 GMT-0400,0.83457,0.83577,0.82337,0.82797,34244.820100000004
29.04.2007 20:00:00.000 GMT-0400,0.82787,0.83297,0.81697,0.82457,29820.0497
06.05.2007 20:00:00.000 GMT-0400,0.82467,0.83387,0.82297,0.83307,30051.490400000002
13.05.2007 20:00:00.000 GMT-0400,0.83297,0.83477,0.82027,0.82307,27513.700100000002
20.05.2007 20:00:00.000 GMT-0400,0.82317,0.82667,0.81747,0.81907,26912.139900000002
27.05.2007 20:00:00.000 GMT-0400,0.81917,0.83287,0.81627,0.83217,26501.650100000003
03.06.2007 20:00:00.000 GMT-0400,0.83227,0.84757,0.83157,0.84017,38775.081900000005
10.06.2007 20:00:00.000 GMT-0400,0.84007,0.84457,0.83317,0.84227,30235.219699999998
17.06.2007 20:00:00.000 GMT-0400,0.84217,0.84947,0.83977,0.84877,25670.1101
24.06.2007 20:00:00.000 GMT-0400,0.84887,0.85247,0.83547,0.85137,50656.6102
01.07.2007 20:00:00.000 GMT-0400,0.85127,0.86087,0.85127,0.85817,26827.0801
08.07.2007 20:00:00.000 GMT-0400,0.85807,0.87247,0.85647,0.87237,32464.5202
15.07.2007 20:00:00.000 GMT-0400,0.87227,0.88337,0.87077,0.88117,30428.78
22.07.2007 20:00:00.000 GMT-0400,0.88097,0.88707,0.85037,0.85107,46463.4827
29.07.2007 20:00:00.000 GMT-0400,0.85117,0.86147,0.84457,0.85427,51510.16069999999
05.08.2007 20:00:00.000 GMT-0400,0.85417,0.86627,0.83997,0.84837,44065.0501
12.08.2007 20:00:00.000 GMT-0400,0.84847,0.84887,0.76737,0.79357,83671.8898
19.08.2007 20:00:00.000 GMT-0400,0.79367,0.83077,0.79337,0.83027,62665.5706
26.08.2007 20:00:00.000 GMT-0400,0.83017,0.83337,0.80507,0.82137,53919.3288
02.09.2007 20:00:00.000 GMT-0400,0.82127,0.83097,0.81817,0.82157,44733.420900000005
09.09.2007 20:00:00.000 GMT-0400,0.82147,0.84387,0.81957,0.84337,81333.1179
16.09.2007 20:00:00.000 GMT-0400,0.84327,0.87027,0.82747,0.86707,102877.248
23.09.2007 20:00:00.000 GMT-0400,0.86703,0.89127,0.86107,0.89057,95857.9006
30.09.2007 20:00:00.000 GMT-0400,0.89062,0.90199,0.87947,0.90100,118158.3309
07.10.2007 20:00:00.000 GMT-0400,0.90101,0.90597,0.89127,0.90387,107321.01770000001
14.10.2007 20:00:00.000 GMT-0400,0.90397,0.90777,0.88157,0.88777,132190.8308
21.10.2007 20:00:00.000 GMT-0400,0.88817,0.92327,0.87507,0.92317,135937.3099
28.10.2007 20:00:00.000 GMT-0400,0.92314,0.93443,0.91067,0.92027,140810.7412
04.11.2007 19:00:00.000 GMT-0500,0.92044,0.94000,0.89057,0.89217,158314.0995
11.11.2007 19:00:00.000 GMT-0500,0.89227,0.90687,0.87527,0.89282,172892.07080000002
18.11.2007 19:00:00.000 GMT-0500,0.89287,0.89528,0.86522,0.88370,146024.3185
25.11.2007 19:00:00.000 GMT-0500,0.88377,0.89195,0.86662,0.87967,157112.1712
02.12.2007 19:00:00.000 GMT-0500,0.87977,0.88437,0.86597,0.87627,105105.6619
09.12.2007 19:00:00.000 GMT-0500,0.87618,0.89017,0.86053,0.86167,122905.55739999999
16.12.2007 19:00:00.000 GMT-0500,0.86177,0.86970,0.85527,0.86897,121740.661
23.12.2007 19:00:00.000 GMT-0500,0.86907,0.88176,0.86799,0.88147,34283.87
30.12.2007 19:00:00.000 GMT-0500,0.88157,0.88539,0.86962,0.87277,85576.2938
06.01.2008 19:00:00.000 GMT-0500,0.87280,0.89752,0.86827,0.89517,171356.11609999998
13.01.2008 19:00:00.000 GMT-0500,0.89507,0.90187,0.86997,0.87617,204394.42169999998
20.01.2008 19:00:00.000 GMT-0500,0.87621,0.88527,0.85117,0.87735,219835.57080000002
27.01.2008 19:00:00.000 GMT-0500,0.87734,0.90517,0.87717,0.90447,165615.5766
03.02.2008 19:00:00.000 GMT-0500,0.90457,0.90998,0.88737,0.90152,171936.659
10.02.2008 19:00:00.000 GMT-0500,0.90162,0.91337,0.89227,0.91317,147050.86229999998
17.02.2008 19:00:00.000 GMT-0500,0.91312,0.92502,0.91018,0.92357,151721.0185
24.02.2008 19:00:00.000 GMT-0500,0.92359,0.94967,0.92227,0.93347,188075.25880000004
02.03.2008 19:00:00.000 GMT-0500,0.93348,0.94210,0.92172,0.93012,200005.8187
09.03.2008 20:00:00.000 GMT-0400,0.93037,0.94712,0.91477,0.92412,197803.15649999998
16.03.2008 20:00:00.000 GMT-0400,0.92422,0.93537,0.89521,0.89817,173283.71740000002
23.03.2008 20:00:00.000 GMT-0400,0.89816,0.92527,0.89807,0.91697,164615.5209
30.03.2008 20:00:00.000 GMT-0400,0.91707,0.92280,0.90307,0.91937,178924.5825
06.04.2008 20:00:00.000 GMT-0400,0.91947,0.93459,0.91928,0.92327,161613.0712
13.04.2008 20:00:00.000 GMT-0400,0.92322,0.94004,0.92050,0.93810,189963.4681
20.04.2008 20:00:00.000 GMT-0400,0.93813,0.95407,0.92907,0.93538,207492.38900000002
27.04.2008 20:00:00.000 GMT-0400,0.93547,0.94715,0.92747,0.93791,225017.3257
04.05.2008 20:00:00.000 GMT-0400,0.93792,0.95056,0.93487,0.93737,176848.78319999998
11.05.2008 20:00:00.000 GMT-0400,0.93730,0.95592,0.92907,0.95335,208583.9609
18.05.2008 20:00:00.000 GMT-0400,0.95332,0.96532,0.95099,0.96074,182392.23750000002
25.05.2008 20:00:00.000 GMT-0400,0.96070,0.96367,0.95117,0.95197,183309.54150000002
01.06.2008 20:00:00.000 GMT-0400,0.95198,0.96406,0.94861,0.96132,335268.88680000004
08.06.2008 20:00:00.000 GMT-0400,0.96073,0.96467,0.93272,0.93897,214367.90749999997
15.06.2008 20:00:00.000 GMT-0400,0.93892,0.95667,0.93694,0.95507,169378.9008
22.06.2008 20:00:00.000 GMT-0400,0.95510,0.96327,0.94927,0.96228,173575.94109999997
29.06.2008 20:00:00.000 GMT-0400,0.96227,0.96668,0.95118,0.96099,158208.7222
06.07.2008 20:00:00.000 GMT-0400,0.96102,0.97161,0.94757,0.96836,186780.80849999998
13.07.2008 20:00:00.000 GMT-0400,0.96837,0.98497,0.96650,0.97486,192608.29439999998
20.07.2008 20:00:00.000 GMT-0400,0.97490,0.97921,0.95285,0.95457,206962.32989999998
27.07.2008 20:00:00.000 GMT-0400,0.95460,0.95938,0.92862,0.93287,216941.2571
03.08.2008 20:00:00.000 GMT-0400,0.93286,0.93458,0.88552,0.88747,242534.8748
10.08.2008 20:00:00.000 GMT-0400,0.88740,0.89518,0.85906,0.87378,296594.3104
17.08.2008 20:00:00.000 GMT-0400,0.87380,0.88122,0.86199,0.86207,241274.612
24.08.2008 20:00:00.000 GMT-0400,0.86208,0.86930,0.84930,0.85331,256610.8572
31.08.2008 20:00:00.000 GMT-0400,0.85330,0.85538,0.80277,0.83069,304562.0866
07.09.2008 20:00:00.000 GMT-0400,0.83065,0.83527,0.78993,0.82194,337607.0323
14.09.2008 20:00:00.000 GMT-0400,0.82199,0.83728,0.77997,0.83092,355493.4517
21.09.2008 20:00:00.000 GMT-0400,0.83095,0.85190,0.82389,0.83260,427455.7625
28.09.2008 20:00:00.000 GMT-0400,0.83260,0.83270,0.76027,0.76301,410893.9474
05.10.2008 20:00:00.000 GMT-0400,0.76300,0.76435,0.63291,0.67911,504785.61259999993
12.10.2008 20:00:00.000 GMT-0400,0.67905,0.72380,0.65093,0.69444,431246.94220000005
19.10.2008 20:00:00.000 GMT-0400,0.69445,0.70590,0.60521,0.61842,369149.4801
26.10.2008 20:00:00.000 GMT-0400,0.61840,0.68910,0.60055,0.67095,799413.8124999999
02.11.2008 19:00:00.000 GMT-0500,0.67095,0.70130,0.65478,0.68797,956832.5727
09.11.2008 19:00:00.000 GMT-0500,0.68805,0.69827,0.63390,0.63775,605445.3223
16.11.2008 19:00:00.000 GMT-0500,0.63760,0.65940,0.60735,0.63426,894239.2987
23.11.2008 19:00:00.000 GMT-0500,0.63425,0.66135,0.62285,0.65135,779176.1543
30.11.2008 19:00:00.000 GMT-0500,0.65135,0.65355,0.62937,0.64666,860899.8761
07.12.2008 19:00:00.000 GMT-0500,0.64675,0.67990,0.64665,0.66496,863540.0400000002
14.12.2008 19:00:00.000 GMT-0500,0.66525,0.71365,0.66285,0.68149,676893.7011999999
21.12.2008 19:00:00.000 GMT-0500,0.68155,0.68925,0.67557,0.68495,355391.52249999996
28.12.2008 19:00:00.000 GMT-0500,0.68525,0.71600,0.68380,0.71535,374335.62120000005
04.01.2009 19:00:00.000 GMT-0500,0.71535,0.72680,0.69565,0.69863,269438.71
11.01.2009 19:00:00.000 GMT-0500,0.69865,0.69935,0.65355,0.67915,374963.11909999995
18.01.2009 19:00:00.000 GMT-0500,0.67915,0.68405,0.64180,0.65155,335838.1608
25.01.2009 19:00:00.000 GMT-0500,0.65165,0.67300,0.63406,0.63524,340952.19470000005
01.02.2009 19:00:00.000 GMT-0500,0.63530,0.68014,0.62475,0.67306,335532.9187
08.02.2009 19:00:00.000 GMT-0500,0.67305,0.68490,0.64305,0.65262,383376.86679999996
15.02.2009 19:00:00.000 GMT-0500,0.65275,0.65380,0.63320,0.64409,348618.4423
22.02.2009 19:00:00.000 GMT-0500,0.64405,0.65540,0.63313,0.63412,375440.35469999997
01.03.2009 19:00:00.000 GMT-0500,0.63430,0.65260,0.62850,0.64287,384196.9039
08.03.2009 20:00:00.000 GMT-0400,0.64300,0.66035,0.63050,0.65635,408247.9217
15.03.2009 20:00:00.000 GMT-0400,0.65640,0.69430,0.65450,0.69112,396711.83190000005
22.03.2009 20:00:00.000 GMT-0400,0.69110,0.70940,0.68656,0.69010,407703.2968
29.03.2009 20:00:00.000 GMT-0400,0.69010,0.72285,0.67690,0.71750,426218.94869999995
05.04.2009 20:00:00.000 GMT-0400,0.71750,0.72299,0.70326,0.72282,258326.97799999997
12.04.2009 20:00:00.000 GMT-0400,0.72279,0.73269,0.71369,0.71818,270793.7442
19.04.2009 20:00:00.000 GMT-0400,0.71821,0.72382,0.69523,0.71143,350837.74669999996
26.04.2009 20:00:00.000 GMT-0400,0.71140,0.73888,0.69892,0.73484,362084.1907
03.05.2009 20:00:00.000 GMT-0400,0.73481,0.77078,0.73126,0.76767,373096.3301
10.05.2009 20:00:00.000 GMT-0400,0.76766,0.77036,0.74593,0.74691,450909.8603
17.05.2009 20:00:00.000 GMT-0400,0.74687,0.78673,0.74678,0.77806,406263.0125
24.05.2009 20:00:00.000 GMT-0400,0.77810,0.80646,0.77026,0.80531,364946.5845
31.05.2009 20:00:00.000 GMT-0400,0.80537,0.82632,0.78758,0.79739,383372.5579
07.06.2009 20:00:00.000 GMT-0400,0.79736,0.82376,0.78269,0.80775,335633.51
14.06.2009 20:00:00.000 GMT-0400,0.80773,0.81179,0.78494,0.80061,317540.48559999996
21.06.2009 20:00:00.000 GMT-0400,0.80056,0.80870,0.77886,0.80695,410877.0072
28.06.2009 20:00:00.000 GMT-0400,0.80695,0.81550,0.78994,0.79371,360779.30020000006
05.07.2009 20:00:00.000 GMT-0400,0.79366,0.80376,0.77226,0.77714,296818.748
12.07.2009 20:00:00.000 GMT-0400,0.77715,0.80836,0.77006,0.80621,297145.71530000004
19.07.2009 20:00:00.000 GMT-0400,0.80616,0.82226,0.80581,0.82076,249577.7042
26.07.2009 20:00:00.000 GMT-0400,0.82071,0.83808,0.81251,0.83711,272500.9259
02.08.2009 20:00:00.000 GMT-0400,0.83716,0.84701,0.83446,0.83928,281593.2499
09.08.2009 20:00:00.000 GMT-0400,0.83931,0.84775,0.81796,0.82281,261706.22859999997
16.08.2009 20:00:00.000 GMT-0400,0.82286,0.84051,0.81556,0.83951,331371.79889999994
23.08.2009 20:00:00.000 GMT-0400,0.83949,0.84703,0.82386,0.83959,267745.6777
30.08.2009 20:00:00.000 GMT-0400,0.83961,0.85351,0.82391,0.85171,275303.0462
06.09.2009 20:00:00.000 GMT-0400,0.85176,0.86756,0.85096,0.85716,256931.3093
13.09.2009 20:00:00.000 GMT-0400,0.85711,0.87752,0.85436,0.86656,246160.3289
20.09.2009 20:00:00.000 GMT-0400,0.86661,0.87891,0.85895,0.86565,325127.58200000005
27.09.2009 20:00:00.000 GMT-0400,0.86559,0.88585,0.85681,0.86775,298645.2243
04.10.2009 20:00:00.000 GMT-0400,0.86780,0.90901,0.86770,0.90486,267699.40989999997
11.10.2009 20:00:00.000 GMT-0400,0.90488,0.92698,0.89831,0.91547,268299.219
18.10.2009 20:00:00.000 GMT-0400,0.91552,0.93281,0.91125,0.92110,276749.24059999996
25.10.2009 20:00:00.000 GMT-0400,0.92116,0.92762,0.89049,0.89657,336235.32570000004
01.11.2009 19:00:00.000 GMT-0500,0.89654,0.92264,0.89155,0.92026,356919.68299999996
08.11.2009 19:00:00.000 GMT-0500,0.92036,0.93696,0.91954,0.93503,277750.8987
15.11.2009 19:00:00.000 GMT-0500,0.93494,0.94057,0.90599,0.91519,296022.7599
22.11.2009 19:00:00.000 GMT-0500,0.91523,0.93216,0.89452,0.91210,277842.9201
29.11.2009 19:00:00.000 GMT-0500,0.91209,0.93216,0.91046,0.91424,296472.3103
06.12.2009 19:00:00.000 GMT-0500,0.91426,0.91924,0.90146,0.91042,305987.0086
13.12.2009 19:00:00.000 GMT-0500,0.91048,0.91744,0.88089,0.88887,263157.4067
20.12.2009 19:00:00.000 GMT-0500,0.88895,0.89036,0.87336,0.88414,135579.1803
27.12.2009 19:00:00.000 GMT-0500,0.88415,0.90100,0.88259,0.89713,179199.6695
03.01.2010 19:00:00.000 GMT-0500,0.89716,0.93079,0.89379,0.93032,249220.7582
10.01.2010 19:00:00.000 GMT-0500,0.93037,0.93296,0.91701,0.92200,239483.6514
17.01.2010 19:00:00.000 GMT-0500,0.92206,0.92789,0.89819,0.90401,258276.1974
24.01.2010 19:00:00.000 GMT-0500,0.90406,0.90926,0.87979,0.88602,356309.75049999997
31.01.2010 19:00:00.000 GMT-0500,0.88596,0.89263,0.85776,0.86559,371417.13869999995
07.02.2010 19:00:00.000 GMT-0500,0.86571,0.89204,0.86121,0.88789,368531.7925
14.02.2010 19:00:00.000 GMT-0500,0.88796,0.90356,0.88484,0.90068,287438.3113
21.02.2010 19:00:00.000 GMT-0500,0.90071,0.90705,0.88003,0.89864,310300.46310000005
28.02.2010 19:00:00.000 GMT-0500,0.89877,0.91044,0.89347,0.90944,319430.3922
07.03.2010 19:00:00.000 GMT-0500,0.90946,0.91938,0.90548,0.91764,266435.783
14.03.2010 20:00:00.000 GMT-0400,0.91766,0.92516,0.90946,0.91375,257106.80010000002
21.03.2010 20:00:00.000 GMT-0400,0.91380,0.91977,0.90007,0.90486,293252.1261
28.03.2010 20:00:00.000 GMT-0400,0.90481,0.92163,0.90466,0.92050,221797.86290000004
04.04.2010 20:00:00.000 GMT-0400,0.92046,0.93821,0.91647,0.93617,228373.2254
11.04.2010 20:00:00.000 GMT-0400,0.93616,0.93668,0.92027,0.92218,258941.9721
18.04.2010 20:00:00.000 GMT-0400,0.92220,0.93381,0.91570,0.92628,287477.0104
25.04.2010 20:00:00.000 GMT-0400,0.92630,0.93239,0.91351,0.92557,352224.40820000006
02.05.2010 20:00:00.000 GMT-0400,0.92555,0.92746,0.87058,0.89526,536017.6304
09.05.2010 20:00:00.000 GMT-0400,0.89521,0.90779,0.88405,0.88471,499374.0797
16.05.2010 20:00:00.000 GMT-0400,0.88465,0.88536,0.80708,0.82706,709739.3861
23.05.2010 20:00:00.000 GMT-0400,0.82711,0.85511,0.80653,0.84531,577556.0974999999
30.05.2010 20:00:00.000 GMT-0400,0.84528,0.85226,0.81586,0.81708,466350.6346
06.06.2010 20:00:00.000 GMT-0400,0.81711,0.85591,0.80816,0.85591,519289.7339
13.06.2010 20:00:00.000 GMT-0400,0.85593,0.88126,0.85052,0.87936,439038.22880000004
20.06.2010 20:00:00.000 GMT-0400,0.87937,0.88588,0.85951,0.87412,448713.35850000003
27.06.2010 20:00:00.000 GMT-0400,0.87407,0.87768,0.83154,0.83952,456231.73929999996
04.07.2010 20:00:00.000 GMT-0400,0.83949,0.87907,0.83165,0.87652,340180.7759
11.07.2010 20:00:00.000 GMT-0400,0.87651,0.88707,0.86325,0.86349,420577.2615000001
18.07.2010 20:00:00.000 GMT-0400,0.86351,0.89714,0.86329,0.89550,456477.83719999995
25.07.2010 20:00:00.000 GMT-0400,0.89551,0.90752,0.89047,0.90751,496154.2711
01.08.2010 20:00:00.000 GMT-0400,0.90752,0.92218,0.90700,0.91746,374782.4746
08.08.2010 20:00:00.000 GMT-0400,0.91742,0.92054,0.89138,0.89213,420867.6805
15.08.2010 20:00:00.000 GMT-0400,0.89216,0.90792,0.88406,0.88843,410976.9483
22.08.2010 20:00:00.000 GMT-0400,0.88840,0.90304,0.87708,0.90163,411482.57819999993
29.08.2010 20:00:00.000 GMT-0400,0.90160,0.91755,0.88602,0.91551,360944.8622
05.09.2010 20:00:00.000 GMT-0400,0.91552,0.93102,0.90918,0.93092,330609.4876
12.09.2010 20:00:00.000 GMT-0400,0.93090,0.94681,0.92937,0.93652,356174.0271
19.09.2010 20:00:00.000 GMT-0400,0.93653,0.96227,0.93612,0.95982,378229.57090000005
26.09.2010 20:00:00.000 GMT-0400,0.95981,0.97497,0.95587,0.97139,427797.4449
03.10.2010 20:00:00.000 GMT-0400,0.97143,0.99173,0.95412,0.98954,578411.949
10.10.2010 20:00:00.000 GMT-0400,0.98952,1.00030,0.97664,0.98777,585976.8907
17.10.2010 20:00:00.000 GMT-0400,0.98778,0.99590,0.96615,0.98445,690451.3192
24.10.2010 20:00:00.000 GMT-0400,0.98447,0.99737,0.96512,0.98641,609370.2266
31.10.2010 20:00:00.000 GMT-0400,0.98652,1.01778,0.98609,1.01540,531618.6992
07.11.2010 19:00:00.000 GMT-0500,1.01626,1.01728,0.98271,0.98877,503561.4111
14.11.2010 19:00:00.000 GMT-0500,0.98875,0.99189,0.97239,0.99005,275792.5811
21.11.2010 19:00:00.000 GMT-0500,0.99005,0.99534,0.96126,0.96581,264922.05659999995
28.11.2010 19:00:00.000 GMT-0500,0.96589,0.99359,0.95379,0.99178,641090.9825
05.12.2010 19:00:00.000 GMT-0500,0.99160,0.99646,0.97519,0.98390,544937.957
12.12.2010 19:00:00.000 GMT-0500,0.98390,1.00248,0.98309,0.98787,546587.2286
19.12.2010 19:00:00.000 GMT-0500,0.98789,1.00630,0.98624,1.00001,394507.60069999995
26.12.2010 19:00:00.000 GMT-0500,1.00001,1.02520,0.99872,1.02120,352193.1660000001
02.01.2011 19:00:00.000 GMT-0500,1.02120,1.02195,0.99074,0.99512,522478.3379
09.01.2011 19:00:00.000 GMT-0500,0.99520,1.00184,0.98034,0.99069,558261.6496
16.01.2011 19:00:00.000 GMT-0500,0.99073,1.00764,0.98317,0.98937,592751.4464
23.01.2011 19:00:00.000 GMT-0500,0.98939,1.00213,0.98633,0.98685,605358.5684999999
30.01.2011 19:00:00.000 GMT-0500,0.98685,1.01987,0.98657,1.01239,779677.8087
06.02.2011 19:00:00.000 GMT-0500,1.01239,1.01886,0.99603,1.00149,702225.0382
13.02.2011 19:00:00.000 GMT-0500,1.00149,1.01570,0.99433,1.01430,691014.2646999999
20.02.2011 19:00:00.000 GMT-0500,1.01430,1.01846,0.99662,1.01405,789839.8009
27.02.2011 19:00:00.000 GMT-0500,1.01405,1.02013,1.00763,1.01439,814380.5860000001
06.03.2011 19:00:00.000 GMT-0500,1.01439,1.01839,0.99682,1.00957,767863.2422000001
13.03.2011 20:00:00.000 GMT-0400,1.00957,1.01115,0.97053,0.99741,1111851.6211
20.03.2011 20:00:00.000 GMT-0400,0.99741,1.02934,0.99520,1.02541,789644.044
27.03.2011 20:00:00.000 GMT-0400,1.02527,1.04142,1.02043,1.03894,674983.3702
03.04.2011 20:00:00.000 GMT-0400,1.03894,1.05805,1.02879,1.05736,660650.7043
10.04.2011 20:00:00.000 GMT-0400,1.05750,1.05795,1.03893,1.05481,725070.6044999999
17.04.2011 20:00:00.000 GMT-0400,1.05481,1.07745,1.04431,1.07710,633630.3866999999
24.04.2011 20:00:00.000 GMT-0400,1.07710,1.09923,1.06766,1.09630,697080.9278000001
01.05.2011 20:00:00.000 GMT-0400,1.09630,1.10103,1.05368,1.07450,942208.5217
08.05.2011 20:00:00.000 GMT-0400,1.07450,1.08881,1.05199,1.05509,966261.9356000001
15.05.2011 20:00:00.000 GMT-0400,1.05509,1.07100,1.05059,1.06356,853357.4101000001
22.05.2011 20:00:00.000 GMT-0400,1.06358,1.07328,1.04409,1.06964,834966.2881
29.05.2011 20:00:00.000 GMT-0400,1.06963,1.07729,1.05872,1.07557,706880.2871
05.06.2011 20:00:00.000 GMT-0400,1.07556,1.07671,1.05173,1.05362,716620.8623
12.06.2011 20:00:00.000 GMT-0400,1.05362,1.07147,1.04774,1.05873,767151.6387000001
19.06.2011 20:00:00.000 GMT-0400,1.05873,1.06497,1.04547,1.04677,803024.7501000001
26.06.2011 20:00:00.000 GMT-0400,1.04677,1.07893,1.03900,1.07762,833215.2247
03.07.2011 20:00:00.000 GMT-0400,1.07763,1.07874,1.06548,1.07217,702417.957
10.07.2011 20:00:00.000 GMT-0400,1.07212,1.07855,1.05254,1.06437,874335.0685
17.07.2011 20:00:00.000 GMT-0400,1.06437,1.08741,1.05607,1.08217,708289.4688
24.07.2011 20:00:00.000 GMT-0400,1.08232,1.10797,1.07951,1.10130,697159.2958
31.07.2011 20:00:00.000 GMT-0400,1.10140,1.10648,1.03747,1.03901,1004625.3125
07.08.2011 20:00:00.000 GMT-0400,1.03901,1.04371,0.99276,1.04068,1224839.6115
14.08.2011 20:00:00.000 GMT-0400,1.04083,1.06009,1.03149,1.03855,808820.3906
21.08.2011 20:00:00.000 GMT-0400,1.03855,1.05921,1.03745,1.05727,737078.9103000001
28.08.2011 20:00:00.000 GMT-0400,1.05728,1.07642,1.05728,1.06012,634001.3437999999
04.09.2011 20:00:00.000 GMT-0400,1.06011,1.06608,1.03957,1.04025,773811.3965
11.09.2011 20:00:00.000 GMT-0400,1.04027,1.04140,1.01774,1.02902,949627.9532
18.09.2011 20:00:00.000 GMT-0400,1.02909,1.03118,0.96720,0.98239,1062748.289
25.09.2011 20:00:00.000 GMT-0400,0.98239,0.99850,0.96216,0.96768,1121029.3731000002
02.10.2011 20:00:00.000 GMT-0400,0.96722,0.98789,0.93910,0.97854,1148234.4355
09.10.2011 20:00:00.000 GMT-0400,0.97857,1.03468,0.97802,1.03147,987253.4942000001
16.10.2011 20:00:00.000 GMT-0400,1.03149,1.03768,1.01176,1.03286,1139613.172
23.10.2011 20:00:00.000 GMT-0400,1.03287,1.07521,1.03218,1.06682,1073456.6935
30.10.2011 20:00:00.000 GMT-0400,1.06683,1.06967,1.02026,1.03976,1190213.045
06.11.2011 19:00:00.000 GMT-0500,1.03974,1.04097,1.00535,1.03303,1094277.7558999998
13.11.2011 19:00:00.000 GMT-0500,1.03307,1.03352,0.99642,0.99950,1138792.8126
20.11.2011 19:00:00.000 GMT-0500,0.99952,0.99959,0.96632,0.98289,1072693.8556
27.11.2011 19:00:00.000 GMT-0500,0.98289,1.03144,0.98030,1.02367,1057714.2735
04.12.2011 19:00:00.000 GMT-0500,1.02367,1.03778,1.00479,1.02050,1050551.8125
11.12.2011 19:00:00.000 GMT-0500,1.02050,1.02070,0.98611,0.99614,1130048.1719999998
18.12.2011 19:00:00.000 GMT-0500,0.99614,1.02187,0.98826,1.01393,987970.0253000001
25.12.2011 19:00:00.000 GMT-0500,1.01432,1.02651,1.00438,1.02213,569489.276
01.01.2012 19:00:00.000 GMT-0500,1.02212,1.03860,1.01808,1.01993,837815.1191999998
