Local time,Open,High,Low,Close,Volume
31.12.2006 19:00:00.000 GMT-0500,1.31908,1.32176,1.31650,1.32120,1995253.25
01.01.2007 19:00:00.000 GMT-0500,1.32137,1.32951,1.32101,1.32724,2009651.25
02.01.2007 19:00:00.000 GMT-0500,1.32702,1.32903,1.31461,1.31690,2016586.75
03.01.2007 19:00:00.000 GMT-0500,1.31689,1.31783,1.30704,1.30860,2007975.25
04.01.2007 19:00:00.000 GMT-0500,1.30866,1.31029,1.29804,1.29995,1916538.375
05.01.2007 19:00:00.000 GMT-0500,1.29995,1.29995,1.29995,1.29995,0
06.01.2007 19:00:00.000 GMT-0500,1.29963,1.30166,1.29921,1.30039,147057.5938
07.01.2007 19:00:00.000 GMT-0500,1.30055,1.30389,1.29722,1.30356,2008339.25
08.01.2007 19:00:00.000 GMT-0500,1.30350,1.30517,1.29855,1.29919,2000760.25
09.01.2007 19:00:00.000 GMT-0500,1.29921,1.30002,1.29261,1.29347,2024176.25
10.01.2007 19:00:00.000 GMT-0500,1.29345,1.30124,1.28804,1.28910,2006020
11.01.2007 19:00:00.000 GMT-0500,1.28909,1.29418,1.28668,1.29215,1901452
12.01.2007 19:00:00.000 GMT-0500,1.29215,1.29215,1.29215,1.29215,0
13.01.2007 19:00:00.000 GMT-0500,1.29124,1.29301,1.29124,1.29242,145868.9063
14.01.2007 19:00:00.000 GMT-0500,1.29254,1.29550,1.29121,1.29299,1996016.125
15.01.2007 19:00:00.000 GMT-0500,1.29338,1.29875,1.29062,1.29165,2024047.25
16.01.2007 19:00:00.000 GMT-0500,1.29159,1.29494,1.28973,1.29368,1995550.75
17.01.2007 19:00:00.000 GMT-0500,1.29372,1.29756,1.28971,1.29590,1998417.25
18.01.2007 19:00:00.000 GMT-0500,1.29594,1.29998,1.29129,1.29485,1912796.75
19.01.2007 19:00:00.000 GMT-0500,1.29485,1.29485,1.29485,1.29485,0
20.01.2007 19:00:00.000 GMT-0500,1.29467,1.29640,1.29441,1.29590,142418
21.01.2007 19:00:00.000 GMT-0500,1.29597,1.29769,1.29201,1.29466,1999560.25
22.01.2007 19:00:00.000 GMT-0500,1.29486,1.30423,1.29288,1.30200,2006431.125
