Local time,Open,High,Low,Close,Volume
31.12.2006 19:00:00.000 GMT-0500,1.31908,1.32951,1.28668,1.30220,46330533.8439
31.01.2007 19:00:00.000 GMT-0500,1.30211,1.32578,1.29095,1.32273,40376661.7814
28.02.2007 19:00:00.000 GMT-0500,1.32255,1.34094,1.30723,1.33535,41550298.421900004
31.03.2007 20:00:00.000 GMT-0400,1.33525,1.36820,1.33179,1.36510,19778247.480600003
30.04.2007 20:00:00.000 GMT-0400,1.36515,1.36711,1.34079,1.34528,15595151.461000001
31.05.2007 20:00:00.000 GMT-0400,1.34526,1.35515,1.32621,1.35416,13761579.1172
30.06.2007 20:00:00.000 GMT-0400,1.35411,1.38515,1.35258,1.36711,15705791.1173
31.07.2007 20:00:00.000 GMT-0400,1.36710,1.38387,1.33594,1.36284,19793601.765699998
31.08.2007 20:00:00.000 GMT-0400,1.36276,1.42808,1.35480,1.42671,17349232.453199998
30.09.2007 20:00:00.000 GMT-0400,1.42678,1.45035,1.40093,1.44695,19916915.4864
31.10.2007 20:00:00.000 GMT-0400,1.44688,1.49646,1.43995,1.46313,18944168.6874
30.11.2007 19:00:00.000 GMT-0500,1.46315,1.47701,1.43073,1.45844,18171164.650399998
31.12.2007 19:00:00.000 GMT-0500,1.45841,1.49219,1.43621,1.48619,19935882.863300003
31.01.2008 19:00:00.000 GMT-0500,1.48596,1.52383,1.44366,1.51762,18221343.3165
29.02.2008 19:00:00.000 GMT-0500,1.51832,1.59021,1.51425,1.57568,18282363.8281
31.03.2008 20:00:00.000 GMT-0400,1.57559,1.60183,1.55073,1.56241,19108334.390600003
30.04.2008 20:00:00.000 GMT-0400,1.56238,1.58178,1.52825,1.55504,19033714.3047
31.05.2008 20:00:00.000 GMT-0400,1.55512,1.58432,1.53004,1.57590,18229322.818400003
30.06.2008 20:00:00.000 GMT-0400,1.57602,1.60389,1.55183,1.55812,19781014.6251
31.07.2008 20:00:00.000 GMT-0400,1.55825,1.56306,1.45655,1.46967,18079538.4434
31.08.2008 20:00:00.000 GMT-0400,1.46962,1.48640,1.38778,1.41178,19905517.371099997
30.09.2008 20:00:00.000 GMT-0400,1.41190,1.41740,1.23290,1.27300,14611383.992400002
31.10.2008 20:00:00.000 GMT-0400,1.27328,1.31145,1.23880,1.26676,14360031.8926
30.11.2008 19:00:00.000 GMT-0500,1.26670,1.46925,1.25490,1.39746,14407207.510100003
31.12.2008 19:00:00.000 GMT-0500,1.39734,1.40707,1.27625,1.28227,14613868.3867
31.01.2009 19:00:00.000 GMT-0500,1.28138,1.30925,1.25125,1.26677,15186959.195199998
28.02.2009 19:00:00.000 GMT-0500,1.26755,1.37375,1.24560,1.32560,19990718.5352
31.03.2009 20:00:00.000 GMT-0400,1.32565,1.35815,1.28845,1.32440,12355574.582300002
30.04.2009 20:00:00.000 GMT-0400,1.32435,1.41685,1.32120,1.41041,11756341.476899998
31.05.2009 20:00:00.000 GMT-0400,1.41050,1.43370,1.37484,1.40980,12903279.4396
30.06.2009 20:00:00.000 GMT-0400,1.40364,1.43028,1.38294,1.42540,1874399.9204000004
31.07.2009 20:00:00.000 GMT-0400,1.42535,1.44469,1.40440,1.43349,1724022.1877
31.08.2009 20:00:00.000 GMT-0400,1.43345,1.48421,1.41741,1.46502,1800079.7081
30.09.2009 20:00:00.000 GMT-0400,1.46504,1.50600,1.44792,1.47295,1783714.5013999997
31.10.2009 20:00:00.000 GMT-0400,1.47243,1.51441,1.46235,1.50343,1694087.4075
30.11.2009 19:00:00.000 GMT-0500,1.50351,1.51398,1.42149,1.43283,1848039.0890000002
31.12.2009 19:00:00.000 GMT-0500,1.43283,1.45797,1.38511,1.38732,1691246.8154
31.01.2010 19:00:00.000 GMT-0500,1.38724,1.40247,1.34431,1.36370,1614631.7236000001
28.02.2010 19:00:00.000 GMT-0500,1.36385,1.38171,1.32658,1.35257,1848879.9026000004
31.03.2010 20:00:00.000 GMT-0400,1.35253,1.36905,1.31117,1.32890,1758963.0974
30.04.2010 20:00:00.000 GMT-0400,1.32974,1.33586,1.21429,1.22701,1702890.3863000001
31.05.2010 20:00:00.000 GMT-0400,1.22701,1.24660,1.18746,1.22270,1778284.8933
30.06.2010 20:00:00.000 GMT-0400,1.22257,1.31041,1.21914,1.30487,1771718.8138000004
31.07.2010 20:00:00.000 GMT-0400,1.30533,1.33333,1.25837,1.26722,1781361.1896000002
31.08.2010 20:00:00.000 GMT-0400,1.26710,1.36836,1.26425,1.36295,1775902.8888
30.09.2010 20:00:00.000 GMT-0400,1.36279,1.41561,1.36273,1.39717,1742589.3013
31.10.2010 20:00:00.000 GMT-0400,1.39724,1.42817,1.29685,1.29953,2064066.913
30.11.2010 19:00:00.000 GMT-0500,1.29956,1.34979,1.29707,1.33824,3790595.453199999
31.12.2010 19:00:00.000 GMT-0500,1.33674,1.37572,1.28638,1.37135,4043441.0374999996
31.01.2011 19:00:00.000 GMT-0500,1.37130,1.38612,1.34280,1.38202,3933527.1035000007
28.02.2011 19:00:00.000 GMT-0500,1.38203,1.42480,1.37430,1.41559,4353404.0588
31.03.2011 20:00:00.000 GMT-0400,1.41561,1.48788,1.40618,1.48084,3683572.6038999995
30.04.2011 20:00:00.000 GMT-0400,1.48039,1.49398,1.39694,1.44240,5486280.4805999985
31.05.2011 20:00:00.000 GMT-0400,1.44240,1.46956,1.40731,1.44744,4958834.164600001
30.06.2011 20:00:00.000 GMT-0400,1.44744,1.45774,1.38371,1.43537,5212342.6508
31.07.2011 20:00:00.000 GMT-0400,1.43539,1.45483,1.40555,1.43634,6426111.613600001
31.08.2011 20:00:00.000 GMT-0400,1.43634,1.43771,1.33652,1.33837,5830023.0258
30.09.2011 20:00:00.000 GMT-0400,1.33827,1.42465,1.31481,1.38587,5823947.246600001
31.10.2011 20:00:00.000 GMT-0400,1.38587,1.38705,1.32129,1.34420,5877851.760000001
30.11.2011 19:00:00.000 GMT-0500,1.34420,1.35357,1.28581,1.29484,4747555.323999999
31.12.2011 19:00:00.000 GMT-0500,1.29299,1.32306,1.26262,1.30754,5964511.983999999
31.01.2012 19:00:00.000 GMT-0500,1.30756,1.34857,1.29751,1.33238,5288446.8635
29.02.2012 19:00:00.000 GMT-0500,1.33241,1.33846,1.30035,1.33376,4785649.949399999
31.03.2012 20:00:00.000 GMT-0400,1.33426,1.33803,1.29958,1.32387,4316665.517
30.04.2012 20:00:00.000 GMT-0400,1.32387,1.32828,1.23363,1.23619,5550479.666199999
31.05.2012 20:00:00.000 GMT-0400,1.23617,1.27474,1.22913,1.26627,5342239.576599999
30.06.2012 20:00:00.000 GMT-0400,1.26606,1.26777,1.20419,1.22917,4968868.990599999
31.07.2012 20:00:00.000 GMT-0400,1.22916,1.26372,1.21339,1.25758,4052406.9648999996
31.08.2012 20:00:00.000 GMT-0400,1.25652,1.31694,1.25015,1.28071,3581360.3020999995
30.09.2012 20:00:00.000 GMT-0400,1.28077,1.31386,1.28049,1.29641,3791569.494499999
31.10.2012 20:00:00.000 GMT-0400,1.29642,1.30274,1.26612,1.29854,3556286.806
30.11.2012 19:00:00.000 GMT-0500,1.29813,1.33080,1.28774,1.31949,2767723.223599999
31.12.2012 19:00:00.000 GMT-0500,1.31950,1.36165,1.29971,1.36115,3687529.3846
31.01.2013 19:00:00.000 GMT-0500,1.36115,1.37108,1.30180,1.30602,3482738.8797999998
28.02.2013 19:00:00.000 GMT-0500,1.30601,1.31343,1.27539,1.28052,4188514.6963
31.03.2013 20:00:00.000 GMT-0400,1.28051,1.32015,1.27468,1.31678,5043145.7809999995
30.04.2013 20:00:00.000 GMT-0400,1.31679,1.32427,1.27960,1.29953,4884503.416099999
31.05.2013 20:00:00.000 GMT-0400,1.29933,1.34155,1.29556,1.30080,4744955.88
30.06.2013 20:00:00.000 GMT-0400,1.30077,1.33447,1.27552,1.33003,4837583.9243
31.07.2013 20:00:00.000 GMT-0400,1.33007,1.34518,1.31734,1.32213,4049700.6656999993
31.08.2013 20:00:00.000 GMT-0400,1.32108,1.35685,1.31046,1.35236,3679542.4902
30.09.2013 20:00:00.000 GMT-0400,1.35237,1.38321,1.34727,1.35790,5666251.744299999
31.10.2013 20:00:00.000 GMT-0400,1.35787,1.36216,1.32950,1.35890,4361799.906299999
30.11.2013 19:00:00.000 GMT-0500,1.35848,1.38932,1.35240,1.37410,3846978.4147
31.12.2013 19:00:00.000 GMT-0500,1.37553,1.37746,1.34790,1.34827,4302642.8376
31.01.2014 19:00:00.000 GMT-0500,1.34841,1.38248,1.34772,1.37990,3415231.8416000004
28.02.2014 19:00:00.000 GMT-0500,1.37593,1.39667,1.37048,1.37739,2954859.9597
31.03.2014 20:00:00.000 GMT-0400,1.37739,1.39056,1.36728,1.38679,2600059.0246
30.04.2014 20:00:00.000 GMT-0400,1.38680,1.39933,1.35862,1.36331,3475895.3192
31.05.2014 20:00:00.000 GMT-0400,1.36359,1.36977,1.35030,1.36914,4533914.0446999995
30.06.2014 20:00:00.000 GMT-0400,1.36913,1.37004,1.33669,1.33889,4338171.025599999
31.07.2014 20:00:00.000 GMT-0400,1.33889,1.34447,1.31245,1.31266,2781482.8155
31.08.2014 20:00:00.000 GMT-0400,1.31267,1.31599,1.25710,1.26279,3963996.2003999995
30.09.2014 20:00:00.000 GMT-0400,1.26280,1.28865,1.24860,1.25220,4683595.5099
31.10.2014 20:00:00.000 GMT-0400,1.25067,1.25985,1.23580,1.24366,3815306.1746
30.11.2014 19:00:00.000 GMT-0500,1.24368,1.25699,1.20968,1.20976,3325914.6501999996
31.12.2014 19:00:00.000 GMT-0500,1.21038,1.21073,1.10979,1.12850,3878792.6152999997
31.01.2015 19:00:00.000 GMT-0500,1.13112,1.15338,1.11756,1.11933,3080191.8795000003
28.02.2015 19:00:00.000 GMT-0500,1.11808,1.12405,1.04624,1.07399,4399941.3079
31.03.2015 20:00:00.000 GMT-0400,1.07398,1.12662,1.05203,1.12116,4523486.7679
30.04.2015 20:00:00.000 GMT-0400,1.12117,1.14669,1.08192,1.09571,4575675.3233
31.05.2015 20:00:00.000 GMT-0400,1.09571,1.14364,1.08873,1.11332,4741174.380799999
30.06.2015 20:00:00.000 GMT-0400,1.11318,1.12157,1.08086,1.09830,4305450.846
31.07.2015 20:00:00.000 GMT-0400,1.09705,1.17139,1.08481,1.12240,3845632.2572
31.08.2015 20:00:00.000 GMT-0400,1.12240,1.14599,1.10873,1.11704,3930714.1195999994
30.09.2015 20:00:00.000 GMT-0400,1.11704,1.14950,1.08969,1.10033,3666301.4281999995
31.10.2015 20:00:00.000 GMT-0400,1.10354,1.10525,1.05579,1.05697,3681192.4028
30.11.2015 19:00:00.000 GMT-0500,1.05696,1.10596,1.05220,1.08564,4122363.9514999995
31.12.2015 19:00:00.000 GMT-0500,1.08730,1.09846,1.07107,1.08253,5452746.887699999
31.01.2016 19:00:00.000 GMT-0500,1.08253,1.13762,1.08242,1.08853,7231979.063099999
29.02.2016 19:00:00.000 GMT-0500,1.08853,1.14118,1.08222,1.13785,7163292.002899999
31.03.2016 20:00:00.000 GMT-0400,1.13785,1.14649,1.12150,1.14503,5293479.7875
30.04.2016 20:00:00.000 GMT-0400,1.14593,1.16162,1.10978,1.11340,4639671.0472
31.05.2016 20:00:00.000 GMT-0400,1.11339,1.14278,1.09116,1.11030,4950154.396899999
30.06.2016 20:00:00.000 GMT-0400,1.11029,1.11974,1.09519,1.11671,10402134.614599999
31.07.2016 20:00:00.000 GMT-0400,1.11672,1.13663,1.10458,1.11562,19854570.290999997
31.08.2016 20:00:00.000 GMT-0400,1.11564,1.13269,1.11230,1.12392,25908900.769600004
30.09.2016 20:00:00.000 GMT-0400,1.12287,1.12442,1.08511,1.09707,17507060.2365
31.10.2016 20:00:00.000 GMT-0400,1.09708,1.12995,1.05180,1.05903,5719702.597999998
30.11.2016 19:00:00.000 GMT-0500,1.05903,1.08734,1.03523,1.05150,4438781.544
31.12.2016 19:00:00.000 GMT-0500,1.05148,1.08122,1.03403,1.08008,5100222.155
31.01.2017 19:00:00.000 GMT-0500,1.08008,1.08288,1.04938,1.05692,4606581.9983
28.02.2017 19:00:00.000 GMT-0500,1.05691,1.09058,1.04948,1.06528,4757490.2939
31.03.2017 20:00:00.000 GMT-0400,1.06594,1.09507,1.05698,1.09057,3360226.4573999993
