Local time,Open,High,Low,Close,Volume
31.12.2006 19:00:00.000 GMT-0500,1.31908,1.32951,1.29804,1.30039,10093062.4688
07.01.2007 19:00:00.000 GMT-0500,1.30055,1.30517,1.28668,1.29242,10086616.6563
14.01.2007 19:00:00.000 GMT-0500,1.29254,1.29998,1.28971,1.29590,10069246.125
21.01.2007 19:00:00.000 GMT-0500,1.29597,1.30423,1.28807,1.29192,10070527.3438
28.01.2007 19:00:00.000 GMT-0500,1.29215,1.30615,1.28948,1.29582,10069908.6563
04.02.2007 19:00:00.000 GMT-0500,1.29597,1.30452,1.29095,1.30167,10091749.2813
11.02.2007 19:00:00.000 GMT-0500,1.30147,1.31716,1.29390,1.31465,10111517.1719
18.02.2007 19:00:00.000 GMT-0500,1.31462,1.31881,1.30796,1.31800,10120141.7969
25.02.2007 19:00:00.000 GMT-0500,1.31808,1.32578,1.31408,1.31820,10052712.0781
04.03.2007 19:00:00.000 GMT-0500,1.31802,1.31926,1.30723,1.31242,10053676.8438
11.03.2007 20:00:00.000 GMT-0400,1.31221,1.33381,1.31054,1.33161,10610226.625
18.03.2007 20:00:00.000 GMT-0400,1.33142,1.34094,1.32571,1.32708,13403367.3125
25.03.2007 20:00:00.000 GMT-0400,1.32724,1.33985,1.32534,1.33540,3513851.2891
01.04.2007 20:00:00.000 GMT-0400,1.33530,1.34410,1.33179,1.33680,4694407
08.04.2007 20:00:00.000 GMT-0400,1.33680,1.35770,1.33400,1.35680,4107760.1954
15.04.2007 20:00:00.000 GMT-0400,1.35685,1.36370,1.35221,1.35990,5190347.3867
22.04.2007 20:00:00.000 GMT-0400,1.35980,1.36820,1.35400,1.36235,5034795.9844
29.04.2007 20:00:00.000 GMT-0400,1.36235,1.36777,1.35344,1.35917,3369422.0234
06.05.2007 20:00:00.000 GMT-0400,1.35920,1.36255,1.34628,1.35397,3409924.3516
13.05.2007 20:00:00.000 GMT-0400,1.35395,1.36081,1.34648,1.35195,3395746.3359
20.05.2007 20:00:00.000 GMT-0400,1.35195,1.35214,1.34114,1.34460,3436322.6251
27.05.2007 20:00:00.000 GMT-0400,1.34456,1.35183,1.33915,1.34420,3427034.8438
03.06.2007 20:00:00.000 GMT-0400,1.34422,1.35515,1.33225,1.33559,3354164.5
