Local time,Open,High,Low,Close,Volume
31.12.2006 19:00:00.000 GMT-0500,1.16475,1.17827,1.16218,1.17313,899139.4786
07.01.2007 19:00:00.000 GMT-0500,1.17307,1.21518,1.16786,1.16868,867620.1621000001
14.01.2007 19:00:00.000 GMT-0500,1.16862,1.17733,1.16439,1.17249,865476.1973
21.01.2007 19:00:00.000 GMT-0500,1.17251,1.18500,1.17120,1.17946,875647.547
28.01.2007 19:00:00.000 GMT-0500,1.17943,1.18685,1.17354,1.18421,866476.8554000001
04.02.2007 19:00:00.000 GMT-0500,1.18403,1.18751,1.17124,1.17340,893442.2443
11.02.2007 19:00:00.000 GMT-0500,1.17337,1.17649,1.16172,1.16367,905391.3722000001
18.02.2007 19:00:00.000 GMT-0500,1.16358,1.17154,1.15636,1.15793,884340.3007
25.02.2007 19:00:00.000 GMT-0500,1.15790,1.19775,1.15752,1.17719,877796.1534
04.03.2007 19:00:00.000 GMT-0500,1.17713,1.18232,1.17010,1.17180,891064.2071
11.03.2007 20:00:00.000 GMT-0400,1.17173,1.17786,1.16789,1.17600,900129.3673
18.03.2007 20:00:00.000 GMT-0400,1.17605,1.17862,1.15323,1.16062,788267.294
25.03.2007 20:00:00.000 GMT-0400,1.16083,1.16356,1.14977,1.15190,819848.1934000001
01.04.2007 20:00:00.000 GMT-0400,1.15190,1.15990,1.14860,1.15080,849688.2521
08.04.2007 20:00:00.000 GMT-0400,1.15080,1.15310,1.13275,1.13806,686096.1095
15.04.2007 20:00:00.000 GMT-0400,1.13580,1.13640,1.12108,1.12265,867741.0562
22.04.2007 20:00:00.000 GMT-0400,1.12270,1.12470,1.11285,1.11645,851323.1233000001
29.04.2007 20:00:00.000 GMT-0400,1.11660,1.11965,1.10315,1.10620,1830271.8213
06.05.2007 20:00:00.000 GMT-0400,1.10655,1.11680,1.10030,1.11090,2019944.7188
13.05.2007 20:00:00.000 GMT-0400,1.11090,1.11250,1.08710,1.08985,2466164.5371999997
20.05.2007 20:00:00.000 GMT-0400,1.08985,1.08985,1.07750,1.07985,2354050.0313
27.05.2007 20:00:00.000 GMT-0400,1.07985,1.08350,1.05948,1.06130,2469748.5899
03.06.2007 20:00:00.000 GMT-0400,1.06120,1.07130,1.05480,1.06230,2849045.7148
10.06.2007 20:00:00.000 GMT-0400,1.06230,1.07390,1.05874,1.06680,2835473.8438
17.06.2007 20:00:00.000 GMT-0400,1.06680,1.07590,1.06140,1.06845,3169631.5683999998
24.06.2007 20:00:00.000 GMT-0400,1.06845,1.07335,1.04680,1.06300,3362862.0117
01.07.2007 20:00:00.000 GMT-0400,1.06300,1.06345,1.04610,1.04825,2364266.1056
08.07.2007 20:00:00.000 GMT-0400,1.04830,1.06120,1.04430,1.04747,3515650.0176
15.07.2007 20:00:00.000 GMT-0400,1.04770,1.04975,1.03995,1.04770,2352691.0938999997
22.07.2007 20:00:00.000 GMT-0400,1.04770,1.06500,1.03400,1.06466,3805790.9805
29.07.2007 20:00:00.000 GMT-0400,1.06475,1.07010,1.05000,1.05690,3782633.8711
05.08.2007 20:00:00.000 GMT-0400,1.05680,1.06420,1.04610,1.05380,3430613.9375
12.08.2007 20:00:00.000 GMT-0400,1.05380,1.08650,1.04840,1.06210,4699345.543
19.08.2007 20:00:00.000 GMT-0400,1.06210,1.06650,1.04725,1.04970,3586103.0625
26.08.2007 20:00:00.000 GMT-0400,1.04970,1.06770,1.04700,1.05448,3492870.25
02.09.2007 20:00:00.000 GMT-0400,1.05470,1.05820,1.04780,1.05630,2391902.9414
09.09.2007 20:00:00.000 GMT-0400,1.05630,1.05910,1.02770,1.03090,3118783.0508999997
16.09.2007 20:00:00.000 GMT-0400,1.03090,1.03110,0.99315,0.99821,2022471.3321999998
23.09.2007 20:00:00.000 GMT-0400,0.99860,1.00945,0.99105,0.99230,2042714.3633999997
30.09.2007 20:00:00.000 GMT-0400,0.99240,1.00155,0.97860,0.98140,2387127.8808999998
07.10.2007 20:00:00.000 GMT-0400,0.98160,0.98950,0.96989,0.97280,2274682.3398
14.10.2007 20:00:00.000 GMT-0400,0.97280,0.98210,0.96320,0.96810,2815658.1836
