Local time,Open,High,Low,Close,Volume
31.12.2006 19:00:00.000 GMT-0500,1.21882,1.21922,1.21622,1.21657,346415.2188
01.01.2007 19:00:00.000 GMT-0500,1.21653,1.21778,1.21116,1.21329,357655.0625
02.01.2007 19:00:00.000 GMT-0500,1.21313,1.22929,1.21185,1.22506,350746.4063
03.01.2007 19:00:00.000 GMT-0500,1.22472,1.23321,1.22393,1.23205,352985.8125
04.01.2007 19:00:00.000 GMT-0500,1.23195,1.23932,1.22734,1.23649,334559
05.01.2007 19:00:00.000 GMT-0500,1.23649,1.23649,1.23649,1.23649,0
06.01.2007 19:00:00.000 GMT-0500,1.23605,1.23643,1.23436,1.23528,27810.0996
07.01.2007 19:00:00.000 GMT-0500,1.23559,1.24093,1.23309,1.23485,354155.5938
08.01.2007 19:00:00.000 GMT-0500,1.23477,1.24302,1.23345,1.24159,355042.6875
09.01.2007 19:00:00.000 GMT-0500,1.24161,1.24774,1.24001,1.24596,355652.5938
10.01.2007 19:00:00.000 GMT-0500,1.24609,1.25050,1.24100,1.24955,357580.3438
11.01.2007 19:00:00.000 GMT-0500,1.24954,1.25234,1.24469,1.24690,335067.2188
12.01.2007 19:00:00.000 GMT-0500,1.24690,1.24690,1.24690,1.24690,0
13.01.2007 19:00:00.000 GMT-0500,1.24898,1.27154,1.24627,1.24738,28831.5996
14.01.2007 19:00:00.000 GMT-0500,1.24728,1.24950,1.24418,1.24818,350690.6875
15.01.2007 19:00:00.000 GMT-0500,1.24860,1.24979,1.24171,1.24839,349516.6875
16.01.2007 19:00:00.000 GMT-0500,1.24853,1.25109,1.24511,1.24719,354257.9688
17.01.2007 19:00:00.000 GMT-0500,1.24698,1.25464,1.24294,1.24740,352947.3125
18.01.2007 19:00:00.000 GMT-0500,1.24732,1.25285,1.24479,1.24818,332448.5625
19.01.2007 19:00:00.000 GMT-0500,1.24818,1.24818,1.24818,1.24818,0
20.01.2007 19:00:00.000 GMT-0500,1.24746,1.24866,1.24735,1.24845,26979.6992
21.01.2007 19:00:00.000 GMT-0500,1.24841,1.25247,1.24698,1.24938,355216.4063
22.01.2007 19:00:00.000 GMT-0500,1.24942,1.25137,1.23743,1.24292,347083.1563
23.01.2007 19:00:00.000 GMT-0500,1.24280,1.24960,1.24128,1.24842,348616.4688
24.01.2007 19:00:00.000 GMT-0500,1.24842,1.24967,1.24236,1.24816,355059.4688
25.01.2007 19:00:00.000 GMT-0500,1.24820,1.25632,1.24751,1.25327,330326.0625
26.01.2007 19:00:00.000 GMT-0500,1.25327,1.25327,1.25327,1.25327,0
27.01.2007 19:00:00.000 GMT-0500,1.25315,1.25337,1.25202,1.25278,27109.5996
28.01.2007 19:00:00.000 GMT-0500,1.25278,1.25596,1.25107,1.25179,349609.0938
29.01.2007 19:00:00.000 GMT-0500,1.25200,1.25423,1.24981,1.25146,351315.0313
30.01.2007 19:00:00.000 GMT-0500,1.25155,1.25703,1.24289,1.24470,350299.4375
31.01.2007 19:00:00.000 GMT-0500,1.24461,1.24587,1.23928,1.24365,353155.6875
01.02.2007 19:00:00.000 GMT-0500,1.24387,1.24937,1.23789,1.24753,334401.75
02.02.2007 19:00:00.000 GMT-0500,1.24753,1.24753,1.24753,1.24753,0
03.02.2007 19:00:00.000 GMT-0500,1.24727,1.24878,1.24727,1.24802,27928.5996
04.02.2007 19:00:00.000 GMT-0500,1.24785,1.25172,1.24672,1.24821,354768.2188
05.02.2007 19:00:00.000 GMT-0500,1.24810,1.24972,1.23844,1.23981,354356.8125
06.02.2007 19:00:00.000 GMT-0500,1.23967,1.24223,1.23805,1.24055,351498.3438
07.02.2007 19:00:00.000 GMT-0500,1.24061,1.25096,1.24017,1.24595,353849.9375
08.02.2007 19:00:00.000 GMT-0500,1.24590,1.25165,1.24540,1.24714,336202.0938
09.02.2007 19:00:00.000 GMT-0500,1.24714,1.24714,1.24714,1.24714,0
10.02.2007 19:00:00.000 GMT-0500,1.24735,1.24897,1.24627,1.24706,28010
11.02.2007 19:00:00.000 GMT-0500,1.24695,1.25497,1.24566,1.25371,356400.5625
12.02.2007 19:00:00.000 GMT-0500,1.25331,1.25371,1.24422,1.24726,352487.9375
13.02.2007 19:00:00.000 GMT-0500,1.24732,1.24748,1.23690,1.23912,353150.4688
14.02.2007 19:00:00.000 GMT-0500,1.23893,1.24063,1.23296,1.23522,351282.6875
15.02.2007 19:00:00.000 GMT-0500,1.23498,1.23801,1.23314,1.23473,333519.3438
16.02.2007 19:00:00.000 GMT-0500,1.23473,1.23473,1.23473,1.23473,0
