Local time,Open,High,Low,Close,Volume
31.12.2006 19:00:00.000 GMT-0500,1.21882,1.27154,1.21116,1.24470,8137977.2798999995
31.01.2007 19:00:00.000 GMT-0500,1.24461,1.25497,1.21433,1.21909,7083849.35
28.02.2007 19:00:00.000 GMT-0500,1.21909,1.23549,1.20300,1.21456,7851880.723099998
31.03.2007 20:00:00.000 GMT-0400,1.21500,1.22830,1.19940,1.20630,10907934.8803
30.04.2007 20:00:00.000 GMT-0400,1.20630,1.23310,1.20505,1.22510,37256393.7032
31.05.2007 20:00:00.000 GMT-0400,1.22510,1.25305,1.21470,1.22083,35298086.2266
30.06.2007 20:00:00.000 GMT-0400,1.22085,1.22330,1.19610,1.20150,47741896.64069999
31.07.2007 20:00:00.000 GMT-0400,1.20150,1.22150,1.18140,1.20805,54668892.601600006
31.08.2007 20:00:00.000 GMT-0400,1.20857,1.21510,1.16168,1.16270,35772586.6406
30.09.2007 20:00:00.000 GMT-0400,1.16270,1.18940,1.15570,1.15925,48539038.8906
31.10.2007 20:00:00.000 GMT-0400,1.15925,1.16390,1.08860,1.13135,39338063.2892
30.11.2007 19:00:00.000 GMT-0500,1.13233,1.16242,1.11525,1.13230,14740979.929799998
31.12.2007 19:00:00.000 GMT-0500,1.13235,1.13448,1.07565,1.08075,22041059.007900003
31.01.2008 19:00:00.000 GMT-0500,1.08075,1.11070,1.04008,1.04110,11733950.2269
29.02.2008 19:00:00.000 GMT-0500,1.04088,1.04580,0.96290,0.99445,22177532.1563
31.03.2008 20:00:00.000 GMT-0400,0.99445,1.04425,0.98880,1.03480,17607308.179800004
30.04.2008 20:00:00.000 GMT-0400,1.03490,1.06250,1.02145,1.04208,5525268.082400001
31.05.2008 20:00:00.000 GMT-0400,1.04185,1.05410,1.01305,1.02050,6340397.634
30.06.2008 20:00:00.000 GMT-0400,1.02050,1.05220,1.00105,1.04800,5806873.5376
31.07.2008 20:00:00.000 GMT-0400,1.04800,1.10860,1.04335,1.09850,7895641.9672
31.08.2008 20:00:00.000 GMT-0400,1.09855,1.14175,1.06870,1.11905,12077400.883100001
30.09.2008 20:00:00.000 GMT-0400,1.11905,1.17480,1.11275,1.15778,131760645.5235
31.10.2008 20:00:00.000 GMT-0400,1.15763,1.22970,1.14730,1.21290,8224452.920399999
30.11.2008 19:00:00.000 GMT-0500,1.21290,1.22510,1.03690,1.06830,7433201.625299998
31.12.2008 19:00:00.000 GMT-0500,1.06784,1.17150,1.06047,1.15950,10133529.515999999
31.01.2009 19:00:00.000 GMT-0500,1.16127,1.18840,1.14005,1.16962,11615596.781399999
28.02.2009 19:00:00.000 GMT-0500,1.16979,1.19665,1.11575,1.13895,14263882.2656
31.03.2009 20:00:00.000 GMT-0400,1.13900,1.17415,1.12383,1.13950,10844493.4925
30.04.2009 20:00:00.000 GMT-0400,1.13950,1.14225,1.06258,1.06960,12437962.123100001
31.05.2009 20:00:00.000 GMT-0400,1.06950,1.10220,1.05905,1.08535,13506147.7424
30.06.2009 20:00:00.000 GMT-0400,1.08545,1.09560,1.06225,1.06827,12840643.629100004
31.07.2009 20:00:00.000 GMT-0400,1.06828,1.08830,1.05275,1.05850,7140174.222999999
31.08.2009 20:00:00.000 GMT-0400,1.05850,1.07055,1.01860,1.03460,7007249.295499999
30.09.2009 20:00:00.000 GMT-0400,1.03460,1.04525,1.00325,1.02594,9349268.2193
31.10.2009 20:00:00.000 GMT-0400,1.02588,1.03380,0.99155,1.00325,8155624.834399998
30.11.2009 19:00:00.000 GMT-0500,1.00325,1.05075,0.99605,1.03485,8548909.649
31.12.2009 19:00:00.000 GMT-0500,1.03491,1.06425,1.01305,1.06020,9003337.2839
31.01.2010 19:00:00.000 GMT-0500,1.06020,1.08980,1.04970,1.07305,7513640.627399999
28.02.2010 19:00:00.000 GMT-0500,1.07305,1.08885,1.04885,1.05215,10148914.457600001
31.03.2010 20:00:00.000 GMT-0400,1.05210,1.09240,1.04345,1.07740,9677041.7779
30.04.2010 20:00:00.000 GMT-0400,1.07722,1.16950,1.07240,1.15580,10312817.340100002
31.05.2010 20:00:00.000 GMT-0400,1.15585,1.17305,1.07520,1.07840,7618896.215399998
30.06.2010 20:00:00.000 GMT-0400,1.07840,1.07890,1.03615,1.04082,5684649.025699999
31.07.2010 20:00:00.000 GMT-0400,1.04126,1.06240,1.01350,1.01555,5933615.748600001
31.08.2010 20:00:00.000 GMT-0400,1.01555,1.02775,0.97080,0.98205,5488328.299299999
