Local time,Open,High,Low,Close,Volume
31.12.2006 19:00:00.000 GMT-0500,1.21882,1.23932,1.21116,1.23528,1770171.5997
07.01.2007 19:00:00.000 GMT-0500,1.23559,1.27154,1.23309,1.24738,1786330.0372999997
14.01.2007 19:00:00.000 GMT-0500,1.24728,1.25464,1.24171,1.24845,1766840.9179999998
21.01.2007 19:00:00.000 GMT-0500,1.24841,1.25632,1.23743,1.25278,1763411.1623
28.01.2007 19:00:00.000 GMT-0500,1.25278,1.25703,1.23789,1.24802,1766709.5997
04.02.2007 19:00:00.000 GMT-0500,1.24785,1.25172,1.23805,1.24706,1778685.4063999997
11.02.2007 19:00:00.000 GMT-0500,1.24695,1.25497,1.23116,1.23301,1774624.3009
18.02.2007 19:00:00.000 GMT-0500,1.23302,1.24358,1.22954,1.23080,1769982.8867999997
25.02.2007 19:00:00.000 GMT-0500,1.23087,1.23379,1.21409,1.21588,1752795.1679999998
04.03.2007 19:00:00.000 GMT-0500,1.21587,1.23549,1.21075,1.23328,1751601.1875999998
11.03.2007 20:00:00.000 GMT-0400,1.23328,1.23507,1.20300,1.20561,1822669.7344
18.03.2007 20:00:00.000 GMT-0400,1.20554,1.22142,1.20492,1.21927,1810413.0391999998
25.03.2007 20:00:00.000 GMT-0400,1.21933,1.22377,1.20837,1.21490,1785062.8127
01.04.2007 20:00:00.000 GMT-0400,1.21490,1.22439,1.21190,1.22270,2909275.2501
08.04.2007 20:00:00.000 GMT-0400,1.22260,1.22830,1.20675,1.21290,1903763.2969999998
15.04.2007 20:00:00.000 GMT-0400,1.21290,1.21500,1.20020,1.20650,2623047.0752999997
22.04.2007 20:00:00.000 GMT-0400,1.20650,1.21270,1.19940,1.20630,2794767.9454
29.04.2007 20:00:00.000 GMT-0400,1.20630,1.21890,1.20364,1.21040,4489673.0625
06.05.2007 20:00:00.000 GMT-0400,1.21040,1.22230,1.20825,1.21730,8374318.0313
13.05.2007 20:00:00.000 GMT-0400,1.21730,1.22850,1.21270,1.22770,9414934.5469
20.05.2007 20:00:00.000 GMT-0400,1.22770,1.23310,1.22400,1.22740,8911148.75
27.05.2007 20:00:00.000 GMT-0400,1.22740,1.25305,1.21995,1.22970,8651510.9766
