Local time,Open,High,Low,Close,Volume
31.12.2006 19:00:00.000 GMT-0500,119.005,119.072,118.847,118.891,604472.875
01.01.2007 19:00:00.000 GMT-0500,118.888,118.930,118.470,118.832,629358
02.01.2007 19:00:00.000 GMT-0500,118.840,119.668,118.634,119.330,612673.125
03.01.2007 19:00:00.000 GMT-0500,119.345,119.496,118.715,118.805,619359.3125
04.01.2007 19:00:00.000 GMT-0500,118.795,119.013,117.975,118.600,596855.875
05.01.2007 19:00:00.000 GMT-0500,118.600,118.600,118.600,118.600,0
06.01.2007 19:00:00.000 GMT-0500,118.578,118.731,118.548,118.548,41895.1992
07.01.2007 19:00:00.000 GMT-0500,118.567,118.835,118.107,118.692,627789.8125
08.01.2007 19:00:00.000 GMT-0500,118.689,119.517,118.679,119.278,620001.8125
09.01.2007 19:00:00.000 GMT-0500,119.279,119.765,119.119,119.515,619741.8125
10.01.2007 19:00:00.000 GMT-0500,119.510,120.627,119.464,120.328,612370
11.01.2007 19:00:00.000 GMT-0500,120.330,120.718,120.161,120.305,578980.875
12.01.2007 19:00:00.000 GMT-0500,120.305,120.305,120.305,120.305,0
13.01.2007 19:00:00.000 GMT-0500,120.286,120.428,120.193,120.243,43005.3008
14.01.2007 19:00:00.000 GMT-0500,120.254,120.588,120.051,120.427,609788.625
15.01.2007 19:00:00.000 GMT-0500,120.420,120.841,120.185,120.787,615684.6875
16.01.2007 19:00:00.000 GMT-0500,120.778,120.867,120.344,120.614,617244.1875
17.01.2007 19:00:00.000 GMT-0500,120.620,121.573,120.449,121.229,620977.8125
18.01.2007 19:00:00.000 GMT-0500,121.257,121.470,121.081,121.202,583698.3125
19.01.2007 19:00:00.000 GMT-0500,121.202,121.202,121.202,121.202,0
20.01.2007 19:00:00.000 GMT-0500,121.193,121.281,121.171,121.267,41718.1992
21.01.2007 19:00:00.000 GMT-0500,121.256,121.780,121.240,121.598,622261.1875
22.01.2007 19:00:00.000 GMT-0500,121.603,121.736,121.102,121.668,616480.6875
23.01.2007 19:00:00.000 GMT-0500,121.685,121.779,120.642,120.874,614794.6875
24.01.2007 19:00:00.000 GMT-0500,120.878,121.601,120.190,121.601,612482.8125
25.01.2007 19:00:00.000 GMT-0500,121.602,121.631,121.257,121.525,582415.625
26.01.2007 19:00:00.000 GMT-0500,121.525,121.525,121.525,121.525,0
27.01.2007 19:00:00.000 GMT-0500,121.495,121.515,121.387,121.463,40279.8984
28.01.2007 19:00:00.000 GMT-0500,121.475,122.165,121.451,121.729,611196.5
29.01.2007 19:00:00.000 GMT-0500,121.718,121.979,121.467,121.676,614322.3125
30.01.2007 19:00:00.000 GMT-0500,121.678,121.727,120.627,120.738,611014.6875
31.01.2007 19:00:00.000 GMT-0500,120.737,120.889,120.134,120.803,614033.5
01.02.2007 19:00:00.000 GMT-0500,120.797,121.344,120.620,121.125,594221.6875
02.02.2007 19:00:00.000 GMT-0500,121.125,121.125,121.125,121.125,0
03.02.2007 19:00:00.000 GMT-0500,121.095,121.179,120.947,120.974,41303.6992
04.02.2007 19:00:00.000 GMT-0500,120.983,121.060,120.081,120.190,617460.875
05.02.2007 19:00:00.000 GMT-0500,120.193,120.554,119.970,120.050,615608.625
06.02.2007 19:00:00.000 GMT-0500,120.039,120.800,120.012,120.585,611914.3125
07.02.2007 19:00:00.000 GMT-0500,120.591,121.423,120.582,121.092,613206.3125
08.02.2007 19:00:00.000 GMT-0500,121.137,121.743,121.049,121.679,587490
09.02.2007 19:00:00.000 GMT-0500,121.679,121.679,121.679,121.679,0
10.02.2007 19:00:00.000 GMT-0500,121.688,122.087,121.688,121.840,45371.1992
11.02.2007 19:00:00.000 GMT-0500,121.850,122.030,121.583,121.764,632805.8125
12.02.2007 19:00:00.000 GMT-0500,121.760,121.766,121.090,121.263,618303.375
13.02.2007 19:00:00.000 GMT-0500,121.272,121.347,120.226,120.286,616520.875
14.02.2007 19:00:00.000 GMT-0500,120.282,120.359,119.147,119.376,617102.8125
15.02.2007 19:00:00.000 GMT-0500,119.370,119.550,118.984,119.392,586051.5
16.02.2007 19:00:00.000 GMT-0500,119.392,119.392,119.392,119.392,0
17.02.2007 19:00:00.000 GMT-0500,119.373,119.403,119.198,119.343,40411.6992
18.02.2007 19:00:00.000 GMT-0500,119.345,119.727,119.299,119.652,617422.3125
