Local time,Open,High,Low,Close,Volume
31.12.2006 19:00:00.000 GMT-0500,119.005,122.165,117.975,120.738,14220864.2226
31.01.2007 19:00:00.000 GMT-0500,120.737,122.087,117.515,118.735,12367989.722599998
28.02.2007 19:00:00.000 GMT-0500,118.730,118.847,115.148,117.648,13353262.6719
31.03.2007 20:00:00.000 GMT-0400,117.960,119.860,117.500,119.450,17500422.0516
30.04.2007 20:00:00.000 GMT-0400,119.450,121.975,119.070,121.730,53312102.4843
31.05.2007 20:00:00.000 GMT-0400,121.725,124.140,120.770,123.143,57302457.9532
30.06.2007 20:00:00.000 GMT-0400,122.948,123.660,118.010,118.510,86765255.10170001
31.07.2007 20:00:00.000 GMT-0400,118.510,119.830,111.590,115.730,94647219.8751
31.08.2007 20:00:00.000 GMT-0400,115.740,116.470,112.600,114.860,46695218.922
30.09.2007 20:00:00.000 GMT-0400,114.860,117.950,113.250,115.395,56606664.4063
31.10.2007 20:00:00.000 GMT-0400,115.395,115.920,107.215,111.055,41480261.8048
30.11.2007 19:00:00.000 GMT-0500,111.125,114.660,109.555,111.639,14145949.7151
31.12.2007 19:00:00.000 GMT-0500,111.650,112.090,104.945,106.240,36716298
31.01.2008 19:00:00.000 GMT-0500,106.240,108.610,103.620,103.680,8905130
29.02.2008 19:00:00.000 GMT-0500,103.880,104.180,95.710,99.775,18926367
31.03.2008 20:00:00.000 GMT-0400,99.775,104.880,99.580,103.910,14256729
30.04.2008 20:00:00.000 GMT-0400,103.910,105.870,102.570,105.380,8547253
31.05.2008 20:00:00.000 GMT-0400,105.540,108.590,103.865,106.040,10459794
30.06.2008 20:00:00.000 GMT-0400,106.040,108.370,103.770,107.740,11246734
31.07.2008 20:00:00.000 GMT-0400,107.740,110.660,107.280,108.450,12133564
31.08.2008 20:00:00.000 GMT-0400,108.450,109.175,103.515,106.005,19233309.5
30.09.2008 20:00:00.000 GMT-0400,106.005,106.525,90.880,98.420,18095971.8125
31.10.2008 20:00:00.000 GMT-0400,98.420,100.555,93.550,95.360,10794706
30.11.2008 19:00:00.000 GMT-0500,95.360,95.415,87.125,90.660,9735056
31.12.2008 19:00:00.000 GMT-0500,90.646,94.630,87.085,89.865,12061458.5061
31.01.2009 19:00:00.000 GMT-0500,89.915,98.715,88.590,97.544,12130670.3751
28.02.2009 19:00:00.000 GMT-0500,97.575,99.675,93.540,99.325,13295090.6016
31.03.2009 20:00:00.000 GMT-0400,99.320,101.440,95.625,98.890,10935409.152700003
30.04.2009 20:00:00.000 GMT-0400,98.890,99.750,93.850,95.470,11500222.0861
31.05.2009 20:00:00.000 GMT-0400,95.470,98.880,94.445,96.235,9866345.168200001
30.06.2009 20:00:00.000 GMT-0400,96.235,96.985,91.735,94.638,19169108.0431
31.07.2009 20:00:00.000 GMT-0400,94.648,97.785,92.540,92.885,11412571.961299999
31.08.2009 20:00:00.000 GMT-0400,92.885,93.440,88.220,89.900,9605556.8499
30.09.2009 20:00:00.000 GMT-0400,89.900,92.320,88.005,90.086,10846515.965300003
31.10.2009 20:00:00.000 GMT-0400,90.075,91.310,84.800,86.275,10320150.0785
30.11.2009 19:00:00.000 GMT-0500,86.275,93.140,86.275,93.002,11323345.273700004
31.12.2009 19:00:00.000 GMT-0500,93.010,93.765,89.135,90.245,11957337
31.01.2010 19:00:00.000 GMT-0500,90.240,92.145,88.550,88.870,8320320
28.02.2010 19:00:00.000 GMT-0500,88.865,93.640,88.135,93.520,9781593
31.03.2010 20:00:00.000 GMT-0400,93.520,94.775,91.595,93.810,10335332
30.04.2010 20:00:00.000 GMT-0400,93.820,94.980,87.940,91.150,10780965
31.05.2010 20:00:00.000 GMT-0400,91.150,92.880,88.280,88.520,8402074
30.06.2010 20:00:00.000 GMT-0400,88.520,89.150,85.945,86.460,8385099
31.07.2010 20:00:00.000 GMT-0400,86.480,86.880,83.590,84.125,8558997
31.08.2010 20:00:00.000 GMT-0400,84.125,85.930,82.875,83.505,7829821
30.09.2010 20:00:00.000 GMT-0400,83.505,83.985,80.238,80.402,5331824
31.10.2010 20:00:00.000 GMT-0400,80.414,84.398,80.327,83.677,1651172
30.11.2010 19:00:00.000 GMT-0500,83.677,84.509,80.936,81.120,1781988
31.12.2010 19:00:00.000 GMT-0500,81.183,83.674,80.916,82.098,2241438.0128
31.01.2011 19:00:00.000 GMT-0500,82.098,83.968,81.207,81.877,2562391.5646
28.02.2011 19:00:00.000 GMT-0500,81.877,83.435,76.388,83.417,3670914.371199999
31.03.2011 20:00:00.000 GMT-0400,83.418,85.519,81.040,81.202,3066358.8975999993
30.04.2011 20:00:00.000 GMT-0400,81.165,82.227,79.563,81.351,3349927.6389
31.05.2011 20:00:00.000 GMT-0400,81.349,81.500,79.694,80.700,2713546.3205
30.06.2011 20:00:00.000 GMT-0400,80.700,81.470,76.713,77.343,2082734.0547999998
31.07.2011 20:00:00.000 GMT-0400,77.343,80.232,75.950,76.757,2725875.1807999993
31.08.2011 20:00:00.000 GMT-0400,76.755,77.852,76.100,77.046,2083966.2091
30.09.2011 20:00:00.000 GMT-0400,77.035,79.526,75.540,78.312,1801781.3194
