Local time,Open,High,Low,Close,Volume
31.12.2006 19:00:00.000 GMT-0500,119.005,119.668,117.975,118.548,3104614.3867
07.01.2007 19:00:00.000 GMT-0500,118.567,120.718,118.107,120.243,3101889.6133
14.01.2007 19:00:00.000 GMT-0500,120.254,121.573,120.051,121.267,3089111.8242
21.01.2007 19:00:00.000 GMT-0500,121.256,121.780,120.190,121.463,3088714.8984
28.01.2007 19:00:00.000 GMT-0500,121.475,122.165,120.134,120.974,3086092.3867
04.02.2007 19:00:00.000 GMT-0500,120.983,122.087,119.970,121.840,3091051.3242
11.02.2007 19:00:00.000 GMT-0500,121.850,122.030,118.984,119.343,3111196.0742
18.02.2007 19:00:00.000 GMT-0500,119.345,121.636,119.299,120.956,3086749
25.02.2007 19:00:00.000 GMT-0500,120.950,120.987,115.969,116.086,3077988.2734
04.03.2007 19:00:00.000 GMT-0500,116.088,118.398,115.148,118.180,3077356.6016
11.03.2007 20:00:00.000 GMT-0400,118.183,118.475,115.752,116.398,3238876.625
18.03.2007 20:00:00.000 GMT-0400,116.395,118.281,116.387,118.033,3159102.8281
25.03.2007 20:00:00.000 GMT-0400,118.033,118.416,116.377,117.830,2630299.3413
01.04.2007 20:00:00.000 GMT-0400,117.760,119.390,117.500,119.370,4646850.9297
08.04.2007 20:00:00.000 GMT-0400,119.360,119.565,118.187,119.265,3035437.1713
15.04.2007 20:00:00.000 GMT-0400,119.250,119.860,117.610,118.770,4193574.6875
22.04.2007 20:00:00.000 GMT-0400,118.770,119.760,118.225,119.380,4338292.7031
29.04.2007 20:00:00.000 GMT-0400,119.380,120.465,119.070,120.105,8285852.0781
06.05.2007 20:00:00.000 GMT-0400,120.105,120.530,119.470,120.105,12736194.375
13.05.2007 20:00:00.000 GMT-0400,120.110,121.390,120.050,121.145,13398141.9531
20.05.2007 20:00:00.000 GMT-0400,121.145,121.870,120.850,121.780,11252652.2031
27.05.2007 20:00:00.000 GMT-0400,121.780,122.147,121.185,122.020,11300191.6875
03.06.2007 20:00:00.000 GMT-0400,122.020,122.110,120.770,121.660,14665188.4219
10.06.2007 20:00:00.000 GMT-0400,121.660,123.660,121.480,123.485,10829364.9688
17.06.2007 20:00:00.000 GMT-0400,123.485,124.140,123.100,123.835,12953989.75
24.06.2007 20:00:00.000 GMT-0400,123.840,123.940,122.225,123.210,16662943.5938
01.07.2007 20:00:00.000 GMT-0400,123.210,123.550,122.085,123.460,14351065.625
08.07.2007 20:00:00.000 GMT-0400,123.460,123.660,120.990,122.060,21190571.1016
15.07.2007 20:00:00.000 GMT-0400,122.060,122.440,120.870,121.290,19432636.4063
22.07.2007 20:00:00.000 GMT-0400,121.300,121.520,118.010,118.320,22639240.375
29.07.2007 20:00:00.000 GMT-0400,118.330,119.490,117.180,117.580,21206744.0938
05.08.2007 20:00:00.000 GMT-0400,117.580,119.830,117.205,118.300,20994565.8125
12.08.2007 20:00:00.000 GMT-0400,118.310,118.570,111.590,114.230,24256333.8125
19.08.2007 20:00:00.000 GMT-0400,114.230,117.140,113.980,116.650,19785189.6563
26.08.2007 20:00:00.000 GMT-0400,116.650,116.650,113.855,115.800,17723992.9375
02.09.2007 20:00:00.000 GMT-0400,115.800,116.470,112.600,112.890,16053393.4063
09.09.2007 20:00:00.000 GMT-0400,112.890,115.490,112.720,115.250,12924130.7969
16.09.2007 20:00:00.000 GMT-0400,115.250,116.370,113.985,115.240,9969262.5313
23.09.2007 20:00:00.000 GMT-0400,115.240,115.890,114.025,114.860,7395948.75
30.09.2007 20:00:00.000 GMT-0400,114.860,117.260,114.765,117.045,7141881.625
07.10.2007 20:00:00.000 GMT-0400,117.050,117.842,116.810,117.640,8968826.2188
14.10.2007 20:00:00.000 GMT-0400,117.635,117.950,113.250,113.480,10857146.375
21.10.2007 20:00:00.000 GMT-0400,113.480,115.030,113.360,114.195,18292259.6875
28.10.2007 20:00:00.000 GMT-0400,114.200,115.920,114.055,114.560,19183355.2813
04.11.2007 19:00:00.000 GMT-0500,114.560,114.810,110.190,110.585,10356747.125
11.11.2007 19:00:00.000 GMT-0500,110.590,111.750,109.110,110.825,8499651.3516
18.11.2007 19:00:00.000 GMT-0500,110.825,111.070,107.545,108.650,7397817.2969
25.11.2007 19:00:00.000 GMT-0500,108.650,111.233,107.215,110.920,7529867.1719
02.12.2007 19:00:00.000 GMT-0500,110.920,111.785,109.555,111.650,2510170.4376999997
09.12.2007 19:00:00.000 GMT-0500,111.650,113.585,110.475,113.320,4663570.0781
16.12.2007 19:00:00.000 GMT-0500,113.320,114.229,112.735,114.100,3821006.9805
