Local time,Open,High,Low,Close,Volume
31.12.2006 19:00:00.000 GMT-0500,635.679,637.103,635.006,635.943,11035957.3364
01.01.2007 19:00:00.000 GMT-0500,635.791,640.802,635.286,639.143,25963611.6028
02.01.2007 19:00:00.000 GMT-0500,639.029,644.663,624.634,626.602,25814350.1282
03.01.2007 19:00:00.000 GMT-0500,626.699,630.352,619.600,622.533,27696046.8292
04.01.2007 19:00:00.000 GMT-0500,622.268,625.768,601.591,606.841,22269435.8826
05.01.2007 19:00:00.000 GMT-0500,606.841,606.841,606.841,606.841,0
06.01.2007 19:00:00.000 GMT-0500,607.170,608.966,606.274,607.867,1059914.9466
07.01.2007 19:00:00.000 GMT-0500,607.808,610.130,602.943,609.123,25494577.4078
08.01.2007 19:00:00.000 GMT-0500,608.894,615.662,605.281,612.759,27414384.8419
09.01.2007 19:00:00.000 GMT-0500,612.451,613.010,605.153,611.169,27571680.069
10.01.2007 19:00:00.000 GMT-0500,610.730,615.785,607.982,611.090,28286527.6337
11.01.2007 19:00:00.000 GMT-0500,611.219,627.323,608.678,626.233,22631050.1099
12.01.2007 19:00:00.000 GMT-0500,626.233,626.233,626.233,626.233,0
13.01.2007 19:00:00.000 GMT-0500,626.028,627.530,625.072,625.707,1829975.009
14.01.2007 19:00:00.000 GMT-0500,625.367,627.767,623.679,626.218,26596591.9495
15.01.2007 19:00:00.000 GMT-0500,626.245,627.950,621.981,623.447,28441526.413
16.01.2007 19:00:00.000 GMT-0500,623.447,633.707,619.363,632.695,26983638.7634
17.01.2007 19:00:00.000 GMT-0500,632.695,636.480,625.672,627.648,27859838.4857
18.01.2007 19:00:00.000 GMT-0500,627.351,636.083,626.352,634.771,22420305.2521
19.01.2007 19:00:00.000 GMT-0500,634.771,634.771,634.771,634.771,0
20.01.2007 19:00:00.000 GMT-0500,634.729,635.648,634.287,634.619,833612.0248
21.01.2007 19:00:00.000 GMT-0500,634.922,639.340,631.065,633.181,25853427.887
22.01.2007 19:00:00.000 GMT-0500,633.412,647.615,632.476,645.576,27915529.2511
23.01.2007 19:00:00.000 GMT-0500,645.825,648.770,638.015,646.582,27521303.1769
24.01.2007 19:00:00.000 GMT-0500,646.870,654.442,644.235,644.778,27976840.9729
25.01.2007 19:00:00.000 GMT-0500,645.314,647.833,639.942,645.380,22500736.2366
26.01.2007 19:00:00.000 GMT-0500,645.380,645.380,645.380,645.380,0
27.01.2007 19:00:00.000 GMT-0500,645.333,647.708,644.800,647.070,1061156.9881
28.01.2007 19:00:00.000 GMT-0500,647.068,647.510,640.028,642.303,25019285.202
29.01.2007 19:00:00.000 GMT-0500,642.294,647.327,639.983,646.225,27254373.5504
30.01.2007 19:00:00.000 GMT-0500,646.009,654.648,641.285,651.899,26759462.3566
31.01.2007 19:00:00.000 GMT-0500,652.144,661.108,650.819,656.098,27751829.1473
01.02.2007 19:00:00.000 GMT-0500,656.273,659.558,642.190,647.066,22376283.6456
02.02.2007 19:00:00.000 GMT-0500,647.066,647.066,647.066,647.066,0
03.02.2007 19:00:00.000 GMT-0500,647.297,648.397,646.451,647.652,940638.0057
04.02.2007 19:00:00.000 GMT-0500,647.957,651.687,645.171,647.791,25697139.74
05.02.2007 19:00:00.000 GMT-0500,647.442,658.229,646.928,652.412,26136323.9288
06.02.2007 19:00:00.000 GMT-0500,652.472,656.508,650.032,651.362,23975900.65
07.02.2007 19:00:00.000 GMT-0500,651.633,661.240,646.879,659.990,26323577.8809
08.02.2007 19:00:00.000 GMT-0500,659.850,668.044,656.227,666.063,19006685.257
09.02.2007 19:00:00.000 GMT-0500,666.063,666.063,666.063,666.063,0
10.02.2007 19:00:00.000 GMT-0500,665.977,668.107,665.636,666.464,876317.9779
11.02.2007 19:00:00.000 GMT-0500,666.520,666.898,659.061,660.524,24826414.1083
12.02.2007 19:00:00.000 GMT-0500,660.511,668.870,659.846,663.033,27509895.3247
13.02.2007 19:00:00.000 GMT-0500,663.468,671.708,663.013,668.469,27108015.0604
14.02.2007 19:00:00.000 GMT-0500,668.441,670.400,661.906,667.930,27227098.465
15.02.2007 19:00:00.000 GMT-0500,668.023,669.348,662.058,668.094,20648792.2668
16.02.2007 19:00:00.000 GMT-0500,668.094,668.094,668.094,668.094,0
17.02.2007 19:00:00.000 GMT-0500,668.486,668.663,667.317,667.841,875820.9944
18.02.2007 19:00:00.000 GMT-0500,667.912,673.102,666.718,670.636,21928289.4135
19.02.2007 19:00:00.000 GMT-0500,670.913,671.784,655.147,659.280,26365581.5125
20.02.2007 19:00:00.000 GMT-0500,659.270,682.247,656.202,677.559,26912014.0076
21.02.2007 19:00:00.000 GMT-0500,677.713,680.829,674.211,674.574,26804203.0334
22.02.2007 19:00:00.000 GMT-0500,674.937,688.208,671.910,681.920,22090921.402
23.02.2007 19:00:00.000 GMT-0500,681.920,681.920,681.920,681.920,0
24.02.2007 19:00:00.000 GMT-0500,682.230,683.128,680.718,682.670,1217291.9512
25.02.2007 19:00:00.000 GMT-0500,682.971,687.731,681.492,686.035,25729087.8296
26.02.2007 19:00:00.000 GMT-0500,685.991,688.470,658.578,664.678,27699394.2261
27.02.2007 19:00:00.000 GMT-0500,664.848,677.324,660.812,673.383,27951513.2904
28.02.2007 19:00:00.000 GMT-0500,673.451,677.355,660.786,661.548,28678270.34
01.03.2007 19:00:00.000 GMT-0500,657.248,663.857,639.779,641.904,22971284.8663
02.03.2007 19:00:00.000 GMT-0500,641.904,641.904,641.904,641.904,0
03.03.2007 19:00:00.000 GMT-0500,641.616,644.534,641.313,642.529,1178004.9801
04.03.2007 19:00:00.000 GMT-0500,642.409,644.617,631.853,632.227,26461135.8643
05.03.2007 19:00:00.000 GMT-0500,632.283,647.654,631.853,646.989,28967306.1371
06.03.2007 19:00:00.000 GMT-0500,646.900,651.532,641.749,647.202,27985551.8341
07.03.2007 19:00:00.000 GMT-0500,647.373,655.758,646.667,651.603,27247392.6544
08.03.2007 19:00:00.000 GMT-0500,651.494,657.897,646.977,648.923,22379001.6174
09.03.2007 19:00:00.000 GMT-0500,648.923,648.923,648.923,648.923,0
10.03.2007 19:00:00.000 GMT-0500,648.741,650.276,647.805,649.087,1407564.044
11.03.2007 20:00:00.000 GMT-0400,648.658,653.596,644.849,648.492,24906156.5399
12.03.2007 20:00:00.000 GMT-0400,648.690,651.895,641.266,642.717,27198843.0023
13.03.2007 20:00:00.000 GMT-0400,642.475,645.770,635.852,643.945,26397544.8608
14.03.2007 20:00:00.000 GMT-0400,644.060,650.070,642.506,647.882,26788648.6053
15.03.2007 20:00:00.000 GMT-0400,648.348,655.570,644.510,651.673,26358411.7889
16.03.2007 20:00:00.000 GMT-0400,651.673,651.673,651.673,651.673,0
17.03.2007 20:00:00.000 GMT-0400,652.727,654.898,650.742,653.764,1776404.9768
18.03.2007 20:00:00.000 GMT-0400,653.470,655.976,651.193,654.353,24657569.8853
19.03.2007 20:00:00.000 GMT-0400,653.966,660.820,651.664,657.961,26754093.1702
20.03.2007 20:00:00.000 GMT-0400,658.144,664.764,655.562,663.134,25486087.7991
21.03.2007 20:00:00.000 GMT-0400,663.033,666.547,661.067,662.721,26469779.9683
22.03.2007 20:00:00.000 GMT-0400,662.779,664.505,654.198,656.017,54196357.7271
23.03.2007 20:00:00.000 GMT-0400,656.017,656.017,656.017,656.017,0
24.03.2007 20:00:00.000 GMT-0400,656.775,657.828,655.704,657.516,1182996.0346
25.03.2007 20:00:00.000 GMT-0400,657.892,664.894,657.381,663.398,5715756.8932
26.03.2007 20:00:00.000 GMT-0400,663.398,668.747,656.438,664.301,6554804.8019
27.03.2007 20:00:00.000 GMT-0400,665.770,669.197,662.613,665.148,6332664.9666
28.03.2007 20:00:00.000 GMT-0400,665.298,666.098,654.466,661.130,6480994.2245
29.03.2007 20:00:00.000 GMT-0400,660.897,667.548,659.870,662.905,6255413.0554
30.03.2007 20:00:00.000 GMT-0400,662.905,662.905,662.905,662.905,0
31.03.2007 20:00:00.000 GMT-0400,663.270,665.057,662.825,664.938,283854.0077
01.04.2007 20:00:00.000 GMT-0400,665.504,665.952,655.929,663.129,5661766.0522
02.04.2007 20:00:00.000 GMT-0400,663.097,667.570,661.198,663.148,6238982.2006
03.04.2007 20:00:00.000 GMT-0400,663.448,675.269,662.795,673.597,5897716.9991
04.04.2007 20:00:00.000 GMT-0400,673.620,675.598,670.948,674.218,5461917.8772
05.04.2007 20:00:00.000 GMT-0400,674.214,674.320,672.372,673.375,3513586.0443
06.04.2007 20:00:00.000 GMT-0400,673.375,673.375,673.375,673.375,0
07.04.2007 20:00:00.000 GMT-0400,673.148,673.668,671.483,672.395,398095.9952
08.04.2007 20:00:00.000 GMT-0400,672.212,677.255,669.209,672.094,5548415.184
09.04.2007 20:00:00.000 GMT-0400,671.794,681.470,670.398,677.148,6068507.1945
10.04.2007 20:00:00.000 GMT-0400,677.097,680.642,673.448,677.244,6019278.0495
11.04.2007 20:00:00.000 GMT-0400,677.247,679.598,670.669,676.497,6006668.0908
12.04.2007 20:00:00.000 GMT-0400,676.870,685.437,675.648,684.869,7559852.1233
13.04.2007 20:00:00.000 GMT-0400,684.869,684.869,684.869,684.869,0
14.04.2007 20:00:00.000 GMT-0400,684.908,685.032,684.751,684.940,232620.9992
15.04.2007 20:00:00.000 GMT-0400,685.107,690.953,682.926,690.201,5599697.113
16.04.2007 20:00:00.000 GMT-0400,690.220,690.570,685.247,686.997,5929062.8433
17.04.2007 20:00:00.000 GMT-0400,687.047,690.620,684.922,689.470,5899824.1425
18.04.2007 20:00:00.000 GMT-0400,689.348,691.498,678.245,683.857,6084084.034
