Local time,Open,High,Low,Close,Volume
31.12.2006 19:00:00.000 GMT-0500,635.679,654.648,601.591,651.899,592065140.3072001
31.01.2007 19:00:00.000 GMT-0500,652.144,688.470,642.190,673.383,507979029.1191
28.02.2007 19:00:00.000 GMT-0500,673.451,677.355,631.853,662.905,510788040.6379
31.03.2007 20:00:00.000 GMT-0400,663.270,693.670,655.929,678.556,137956530.73479998
30.04.2007 20:00:00.000 GMT-0400,678.174,690.519,651.020,660.044,168925070.9116
31.05.2007 20:00:00.000 GMT-0400,660.270,673.595,638.448,648.664,123926222.86100002
30.06.2007 20:00:00.000 GMT-0400,649.197,686.972,644.522,663.438,147417012.45309997
31.07.2007 20:00:00.000 GMT-0400,663.438,676.595,641.723,672.312,166224897.38480002
31.08.2007 20:00:00.000 GMT-0400,672.398,745.323,670.575,743.036,155996266.1266
30.09.2007 20:00:00.000 GMT-0400,743.067,798.387,720.319,797.271,203410157.68039995
31.10.2007 20:00:00.000 GMT-0400,797.595,845.325,772.513,783.644,176814612.2098
30.11.2007 19:00:00.000 GMT-0500,783.105,842.901,776.660,833.048,157278738.02179995
31.12.2007 19:00:00.000 GMT-0500,833.022,936.384,832.865,924.095,180970780.13430002
31.01.2008 19:00:00.000 GMT-0500,923.923,975.714,884.392,973.519,174302054.64379996
29.02.2008 19:00:00.000 GMT-0500,973.725,1031.828,904.303,918.404,175575160.5036
31.03.2008 20:00:00.000 GMT-0400,918.512,952.570,862.156,874.447,183454031.40780005
30.04.2008 20:00:00.000 GMT-0400,874.844,934.916,846.641,885.976,210127848.14840007
31.05.2008 20:00:00.000 GMT-0400,885.647,934.840,857.264,925.548,189949576.37790003
30.06.2008 20:00:00.000 GMT-0400,925.857,987.517,893.433,912.168,206973329.30580002
31.07.2008 20:00:00.000 GMT-0400,911.984,916.457,776.383,832.415,224830442.19
31.08.2008 20:00:00.000 GMT-0400,833.522,922.361,736.113,870.237,226211463.68999997
30.09.2008 20:00:00.000 GMT-0400,870.588,929.895,681.999,722.788,243881403.2076
31.10.2008 20:00:00.000 GMT-0400,722.763,829.044,699.719,815.779,179026409.86439997
30.11.2008 19:00:00.000 GMT-0500,815.415,890.016,740.956,879.888,201371706.4861
31.12.2008 19:00:00.000 GMT-0500,879.905,928.787,801.829,926.222,176879590.74980003
31.01.2009 19:00:00.000 GMT-0500,926.322,1004.764,889.173,935.548,167769690.0369
28.02.2009 19:00:00.000 GMT-0500,943.747,966.428,883.242,918.310,219975503.9217
31.03.2009 20:00:00.000 GMT-0400,918.729,932.362,864.329,885.733,205878339.76739994
30.04.2009 20:00:00.000 GMT-0400,885.594,979.773,879.615,976.148,233125680.685
31.05.2009 20:00:00.000 GMT-0400,976.072,989.287,913.258,928.656,205970675.2301
30.06.2009 20:00:00.000 GMT-0400,929.141,958.423,904.486,953.481,233259058.952
31.07.2009 20:00:00.000 GMT-0400,953.570,971.284,929.900,951.645,216346634.62630004
31.08.2009 20:00:00.000 GMT-0400,951.641,1023.591,945.848,1007.376,237058749.19869998
30.09.2009 20:00:00.000 GMT-0400,1007.384,1069.961,987.294,1044.215,243354561.32879996
31.10.2009 20:00:00.000 GMT-0400,1044.234,1194.676,1039.898,1179.189,218191726.20769998
30.11.2009 19:00:00.000 GMT-0500,1178.810,1225.940,1074.195,1096.093,237142495.87059996
31.12.2009 19:00:00.000 GMT-0500,1096.088,1160.949,1074.105,1083.366,387551558.4944999
31.01.2010 19:00:00.000 GMT-0500,1083.053,1130.283,1044.703,1117.059,380357310.3546999
28.02.2010 19:00:00.000 GMT-0500,1117.131,1144.591,1084.702,1112.141,459705881.5954
31.03.2010 20:00:00.000 GMT-0400,1112.120,1181.253,1111.103,1178.720,509593504.9056999
30.04.2010 20:00:00.000 GMT-0400,1177.948,1248.756,1157.506,1215.965,522876623.1536
31.05.2010 20:00:00.000 GMT-0400,1215.827,1264.288,1196.605,1240.951,595555994.5108999
30.06.2010 20:00:00.000 GMT-0400,1241.034,1243.478,1156.929,1180.770,689229564.4283001
31.07.2010 20:00:00.000 GMT-0400,1181.270,1249.491,1174.217,1247.547,762003674.2689002
31.08.2010 20:00:00.000 GMT-0400,1247.515,1315.179,1236.496,1306.684,873972879.6484
30.09.2010 20:00:00.000 GMT-0400,1306.535,1386.367,1306.446,1362.590,961126363.7542999
31.10.2010 20:00:00.000 GMT-0400,1362.575,1423.900,1325.510,1383.973,788104346.6331999
30.11.2010 19:00:00.000 GMT-0500,1383.240,1430.943,1361.948,1420.390,457871573.6273
31.12.2010 19:00:00.000 GMT-0500,1419.175,1423.774,1308.232,1332.609,484876325.54779994
31.01.2011 19:00:00.000 GMT-0500,1332.615,1418.157,1325.229,1410.688,394173643.46999997
28.02.2011 19:00:00.000 GMT-0500,1410.713,1447.701,1382.604,1432.166,612267070.4125
31.03.2011 20:00:00.000 GMT-0400,1432.299,1569.330,1413.108,1562.739,485684585.80990005
30.04.2011 20:00:00.000 GMT-0400,1562.759,1576.415,1462.394,1535.110,794706277.1321996
31.05.2011 20:00:00.000 GMT-0400,1535.171,1558.060,1490.958,1501.236,626897502.1839001
30.06.2011 20:00:00.000 GMT-0400,1501.353,1632.513,1478.038,1615.156,604512386.5605
31.07.2011 20:00:00.000 GMT-0400,1615.182,1911.754,1608.869,1827.108,1193404197.4545999
31.08.2011 20:00:00.000 GMT-0400,1827.081,1920.662,1535.456,1623.435,1218974560.7377002
30.09.2011 20:00:00.000 GMT-0400,1623.430,1752.390,1595.758,1714.099,943352503.8959
31.10.2011 20:00:00.000 GMT-0400,1714.104,1802.903,1666.575,1748.188,969926480.5317999
30.11.2011 19:00:00.000 GMT-0500,1748.215,1760.708,1522.643,1564.799,881825852.8713002
31.12.2011 19:00:00.000 GMT-0500,1565.300,1747.647,1564.100,1735.542,10831064185.6195
31.01.2012 19:00:00.000 GMT-0500,1735.703,1790.608,1685.962,1702.333,6800217757.225
29.02.2012 19:00:00.000 GMT-0500,1702.352,1725.775,1628.047,1668.130,15073462806.701698
31.03.2012 20:00:00.000 GMT-0400,1667.800,1683.452,1612.335,1666.837,18857773406.9824
30.04.2012 20:00:00.000 GMT-0400,1666.847,1671.502,1526.925,1560.673,11288373521.804804
31.05.2012 20:00:00.000 GMT-0400,1560.673,1640.943,1544.622,1597.430,21778760189.056297
30.06.2012 20:00:00.000 GMT-0400,1597.300,1629.483,1554.944,1613.106,26858393440.2466
31.07.2012 20:00:00.000 GMT-0400,1613.071,1692.952,1584.553,1691.400,28220943927.765095
31.08.2012 20:00:00.000 GMT-0400,1691.400,1787.452,1685.391,1765.468,12451024795.531897
30.09.2012 20:00:00.000 GMT-0400,1765.417,1795.852,1698.442,1720.033,15887154529.5716
31.10.2012 20:00:00.000 GMT-0400,1720.033,1754.291,1672.506,1714.480,17474313604.355
30.11.2012 19:00:00.000 GMT-0500,1714.800,1723.263,1635.371,1675.000,26043245857.23859
31.12.2012 19:00:00.000 GMT-0500,1674.603,1696.052,1626.333,1662.933,697553001.1953
31.01.2013 19:00:00.000 GMT-0500,1662.913,1684.880,1554.948,1580.973,944910988.0329
28.02.2013 19:00:00.000 GMT-0500,1580.787,1616.652,1561.712,1596.542,716255179.6735001
31.03.2013 20:00:00.000 GMT-0400,1596.562,1603.863,1321.552,1476.333,875461990.8333
30.04.2013 20:00:00.000 GMT-0400,1476.352,1487.803,1337.948,1388.438,1396762957.9307
31.05.2013 20:00:00.000 GMT-0400,1389.227,1423.552,1180.274,1239.255,961658687.2042
30.06.2013 20:00:00.000 GMT-0400,1239.173,1347.463,1208.133,1325.913,731337758.7200999
31.07.2013 20:00:00.000 GMT-0400,1325.943,1433.695,1272.730,1394.518,541282413.5423001
31.08.2013 20:00:00.000 GMT-0400,1393.193,1416.295,1291.662,1328.552,630790190.7266
30.09.2013 20:00:00.000 GMT-0400,1328.542,1361.737,1251.662,1323.119,858407911.0325001
31.10.2013 20:00:00.000 GMT-0400,1323.142,1327.372,1224.864,1251.022,534033246.0849999
30.11.2013 19:00:00.000 GMT-0500,1250.803,1267.793,1182.343,1205.393,548693618.4913999
31.12.2013 19:00:00.000 GMT-0500,1203.612,1279.013,1202.302,1244.283,558404024.5711
31.01.2014 19:00:00.000 GMT-0500,1242.482,1345.392,1240.813,1326.193,574288043.7077
28.02.2014 19:00:00.000 GMT-0500,1332.303,1389.122,1282.428,1284.467,771546869.4866002
31.03.2014 20:00:00.000 GMT-0400,1284.415,1331.113,1268.506,1291.703,687275731.8914002
30.04.2014 20:00:00.000 GMT-0400,1291.703,1315.523,1242.149,1249.300,811029908.2398001
31.05.2014 20:00:00.000 GMT-0400,1250.032,1329.450,1240.522,1326.321,850726079.5235001
30.06.2014 20:00:00.000 GMT-0400,1326.321,1345.033,1280.743,1283.037,974865068.0778
31.07.2014 20:00:00.000 GMT-0400,1282.987,1322.651,1271.973,1286.662,626741999.2089
