Local time,Open,High,Low,Close,Volume
31.12.2006 19:00:00.000 GMT-0500,635.679,644.663,601.591,607.867,113839316.7258
07.01.2007 19:00:00.000 GMT-0500,607.808,627.530,602.943,625.707,133228195.07129999
14.01.2007 19:00:00.000 GMT-0500,625.367,636.480,619.363,634.619,133135512.8885
21.01.2007 19:00:00.000 GMT-0500,634.922,654.442,631.065,647.070,132828994.5126
28.01.2007 19:00:00.000 GMT-0500,647.068,661.108,639.983,647.652,130101871.9076
04.02.2007 19:00:00.000 GMT-0500,647.957,668.107,645.171,666.464,122015945.4346
11.02.2007 19:00:00.000 GMT-0500,666.520,671.708,659.061,667.841,128196036.2196
18.02.2007 19:00:00.000 GMT-0500,667.912,688.208,655.147,682.670,125318301.32019998
25.02.2007 19:00:00.000 GMT-0500,682.971,688.470,639.779,642.529,134207555.53250001
04.03.2007 19:00:00.000 GMT-0500,642.409,657.897,631.853,649.087,134447952.1513
11.03.2007 20:00:00.000 GMT-0400,648.658,655.570,635.852,653.764,133426009.774
18.03.2007 20:00:00.000 GMT-0400,653.470,666.547,651.193,657.516,158746884.5846
25.03.2007 20:00:00.000 GMT-0400,657.892,669.197,654.466,664.938,31623487.9493
01.04.2007 20:00:00.000 GMT-0400,665.504,675.598,655.929,672.395,27172065.1686
08.04.2007 20:00:00.000 GMT-0400,672.212,685.437,669.209,684.940,31435341.6413
15.04.2007 20:00:00.000 GMT-0400,685.107,693.670,678.245,691.469,41784250.5872
22.04.2007 20:00:00.000 GMT-0400,692.445,693.143,670.384,679.798,31965883.3742
29.04.2007 20:00:00.000 GMT-0400,679.845,690.223,667.014,687.606,38538855.7911
06.05.2007 20:00:00.000 GMT-0400,687.601,690.519,664.015,671.391,41314207.25580001
13.05.2007 20:00:00.000 GMT-0400,671.532,674.609,653.531,661.547,37367274.31420001
20.05.2007 20:00:00.000 GMT-0400,661.260,665.123,651.020,655.372,35863403.4991
27.05.2007 20:00:00.000 GMT-0400,654.994,671.670,651.198,670.553,28127027.779799998
03.06.2007 20:00:00.000 GMT-0400,670.117,673.595,643.598,647.537,29216112.017699998
